cleanup,avg_acc,avg_levenshtein,avg_pct_boundary_err,avg_segment_error_rate,train_set_dur,replicate_num,model_name,results_dir,toml_path,training_replicate_csv_path,checkpoint_path,spect_scalar_path,min_segment_dur,avg_error,animal_id,train_set_dur_ind
majority_vote,0.9792917964479908,2.097560975609756,0.6599762506733671,0.04300730689918001,75,1,TweetyNet,results/Bengalese_Finches/hidden_size/hidden_size_64/Bird0/results_210601_055003,results/Bengalese_Finches/hidden_size/hidden_size_64/Bird0/results_210601_055003/config_BirdsongRecognition_bird00.toml,data/BirdsongRecognition/Bird0/Wave_prep_210528_224944.csv,results/Bengalese_Finches/hidden_size/hidden_size_64/Bird0/results_210601_055003/train_dur_75s/replicate_1/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/hidden_size/hidden_size_64/Bird0/results_210601_055003/train_dur_75s/replicate_1/StandardizeSpect,0.02,2.0708203552009197,Bird0,2
min_segment_dur,0.9766856186217541,8.341463414634147,0.567819335207248,0.16483021089739686,75,1,TweetyNet,results/Bengalese_Finches/hidden_size/hidden_size_64/Bird0/results_210601_055003,results/Bengalese_Finches/hidden_size/hidden_size_64/Bird0/results_210601_055003/config_BirdsongRecognition_bird00.toml,data/BirdsongRecognition/Bird0/Wave_prep_210528_224944.csv,results/Bengalese_Finches/hidden_size/hidden_size_64/Bird0/results_210601_055003/train_dur_75s/replicate_1/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/hidden_size/hidden_size_64/Bird0/results_210601_055003/train_dur_75s/replicate_1/StandardizeSpect,0.02,2.331438137824593,Bird0,2
min_segment_dur_majority_vote,0.9797308458064385,1.1951219512195121,0.6746023411576081,0.024393029622084283,75,1,TweetyNet,results/Bengalese_Finches/hidden_size/hidden_size_64/Bird0/results_210601_055003,results/Bengalese_Finches/hidden_size/hidden_size_64/Bird0/results_210601_055003/config_BirdsongRecognition_bird00.toml,data/BirdsongRecognition/Bird0/Wave_prep_210528_224944.csv,results/Bengalese_Finches/hidden_size/hidden_size_64/Bird0/results_210601_055003/train_dur_75s/replicate_1/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/hidden_size/hidden_size_64/Bird0/results_210601_055003/train_dur_75s/replicate_1/StandardizeSpect,0.02,2.0269154193561456,Bird0,2
none,0.9762618777484172,9.365853658536585,0.557941440666517,0.18544721503405934,75,1,TweetyNet,results/Bengalese_Finches/hidden_size/hidden_size_64/Bird0/results_210601_055003,results/Bengalese_Finches/hidden_size/hidden_size_64/Bird0/results_210601_055003/config_BirdsongRecognition_bird00.toml,data/BirdsongRecognition/Bird0/Wave_prep_210528_224944.csv,results/Bengalese_Finches/hidden_size/hidden_size_64/Bird0/results_210601_055003/train_dur_75s/replicate_1/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/hidden_size/hidden_size_64/Bird0/results_210601_055003/train_dur_75s/replicate_1/StandardizeSpect,0.02,2.3738122251582783,Bird0,2
majority_vote,0.9790454710232677,2.8780487804878048,0.6637913236623224,0.05967923303001721,75,2,TweetyNet,results/Bengalese_Finches/hidden_size/hidden_size_64/Bird0/results_210601_055003,results/Bengalese_Finches/hidden_size/hidden_size_64/Bird0/results_210601_055003/config_BirdsongRecognition_bird00.toml,data/BirdsongRecognition/Bird0/Wave_prep_210528_224944.csv,results/Bengalese_Finches/hidden_size/hidden_size_64/Bird0/results_210601_055003/train_dur_75s/replicate_2/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/hidden_size/hidden_size_64/Bird0/results_210601_055003/train_dur_75s/replicate_2/StandardizeSpect,0.02,2.0954528976732334,Bird0,2
min_segment_dur,0.9759624812801884,9.878048780487806,0.5795962610735715,0.17714493340817006,75,2,TweetyNet,results/Bengalese_Finches/hidden_size/hidden_size_64/Bird0/results_210601_055003,results/Bengalese_Finches/hidden_size/hidden_size_64/Bird0/results_210601_055003/config_BirdsongRecognition_bird00.toml,data/BirdsongRecognition/Bird0/Wave_prep_210528_224944.csv,results/Bengalese_Finches/hidden_size/hidden_size_64/Bird0/results_210601_055003/train_dur_75s/replicate_2/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/hidden_size/hidden_size_64/Bird0/results_210601_055003/train_dur_75s/replicate_2/StandardizeSpect,0.02,2.4037518719811635,Bird0,2
min_segment_dur_majority_vote,0.9798002667250773,1.146341463414634,0.6996100608802107,0.021057750352946304,75,2,TweetyNet,results/Bengalese_Finches/hidden_size/hidden_size_64/Bird0/results_210601_055003,results/Bengalese_Finches/hidden_size/hidden_size_64/Bird0/results_210601_055003/config_BirdsongRecognition_bird00.toml,data/BirdsongRecognition/Bird0/Wave_prep_210528_224944.csv,results/Bengalese_Finches/hidden_size/hidden_size_64/Bird0/results_210601_055003/train_dur_75s/replicate_2/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/hidden_size/hidden_size_64/Bird0/results_210601_055003/train_dur_75s/replicate_2/StandardizeSpect,0.02,2.019973327492275,Bird0,2
none,0.9752191762165408,12.097560975609756,0.554953045605544,0.22482401425863474,75,2,TweetyNet,results/Bengalese_Finches/hidden_size/hidden_size_64/Bird0/results_210601_055003,results/Bengalese_Finches/hidden_size/hidden_size_64/Bird0/results_210601_055003/config_BirdsongRecognition_bird00.toml,data/BirdsongRecognition/Bird0/Wave_prep_210528_224944.csv,results/Bengalese_Finches/hidden_size/hidden_size_64/Bird0/results_210601_055003/train_dur_75s/replicate_2/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/hidden_size/hidden_size_64/Bird0/results_210601_055003/train_dur_75s/replicate_2/StandardizeSpect,0.02,2.478082378345925,Bird0,2
majority_vote,0.9795680001377378,2.6341463414634148,0.6856656808185262,0.056918316042923696,75,3,TweetyNet,results/Bengalese_Finches/hidden_size/hidden_size_64/Bird0/results_210601_055003,results/Bengalese_Finches/hidden_size/hidden_size_64/Bird0/results_210601_055003/config_BirdsongRecognition_bird00.toml,data/BirdsongRecognition/Bird0/Wave_prep_210528_224944.csv,results/Bengalese_Finches/hidden_size/hidden_size_64/Bird0/results_210601_055003/train_dur_75s/replicate_3/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/hidden_size/hidden_size_64/Bird0/results_210601_055003/train_dur_75s/replicate_3/StandardizeSpect,0.02,2.0431999862262185,Bird0,2
min_segment_dur,0.9771105403864868,10.560975609756097,0.6002562769588631,0.19988244614052592,75,3,TweetyNet,results/Bengalese_Finches/hidden_size/hidden_size_64/Bird0/results_210601_055003,results/Bengalese_Finches/hidden_size/hidden_size_64/Bird0/results_210601_055003/config_BirdsongRecognition_bird00.toml,data/BirdsongRecognition/Bird0/Wave_prep_210528_224944.csv,results/Bengalese_Finches/hidden_size/hidden_size_64/Bird0/results_210601_055003/train_dur_75s/replicate_3/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/hidden_size/hidden_size_64/Bird0/results_210601_055003/train_dur_75s/replicate_3/StandardizeSpect,0.02,2.2889459613513186,Bird0,2
