,animal_id,day,transition,prob,source,replicate_num
69,gr41rd51,2012-06-23,"('e', 'f')",0.7351707609346915,model,2.0
70,gr41rd51,2012-06-23,"('e', 'f')",0.7249114521841795,model,3.0
71,gr41rd51,2012-06-23,"('e', 'f')",0.7350478468899522,model,4.0
72,gr41rd51,2012-06-23,"('e', 'f')",0.7363690832834032,model,5.0
73,gr41rd51,2012-06-23,"('e', 'f')",0.7346084877465631,model,6.0
74,gr41rd51,2012-06-23,"('e', 'f')",0.7326968973747017,model,7.0
75,gr41rd51,2012-06-23,"('e', 'f')",0.7313877307921381,model,8.0
76,gr41rd51,2012-06-23,"('e', 'f')",0.7306317044100119,model,9.0
77,gr41rd51,2012-06-20,"('e', 'i')",0.22348484848484848,ground_truth,
78,gr41rd51,2012-06-20,"('e', 'i')",0.20454545454545456,model,0.0
79,gr41rd51,2012-06-20,"('e', 'i')",0.23220973782771537,model,1.0
80,gr41rd51,2012-06-20,"('e', 'i')",0.22433460076045628,model,2.0
81,gr41rd51,2012-06-20,"('e', 'i')",0.22264150943396227,model,3.0
82,gr41rd51,2012-06-20,"('e', 'i')",0.22348484848484848,model,4.0
83,gr41rd51,2012-06-20,"('e', 'i')",0.2159090909090909,model,5.0
84,gr41rd51,2012-06-20,"('e', 'i')",0.2196969696969697,model,6.0
85,gr41rd51,2012-06-20,"('e', 'i')",0.22264150943396227,model,7.0
86,gr41rd51,2012-06-20,"('e', 'i')",0.23018867924528302,model,8.0
87,gr41rd51,2012-06-20,"('e', 'i')",0.23193916349809887,model,9.0
88,gr41rd51,2012-06-22,"('e', 'i')",0.264050901378579,ground_truth,
89,gr41rd51,2012-06-22,"('e', 'i')",0.2403846153846154,model,0.0
90,gr41rd51,2012-06-22,"('e', 'i')",0.2657417289220918,model,1.0
91,gr41rd51,2012-06-22,"('e', 'i')",0.2609625668449198,model,2.0
92,gr41rd51,2012-06-22,"('e', 'i')",0.25906183368869934,model,3.0
93,gr41rd51,2012-06-22,"('e', 'i')",0.2609625668449198,model,4.0
94,gr41rd51,2012-06-22,"('e', 'i')",0.2572038420490928,model,5.0
95,gr41rd51,2012-06-22,"('e', 'i')",0.2617021276595745,model,6.0
96,gr41rd51,2012-06-22,"('e', 'i')",0.26175213675213677,model,7.0
97,gr41rd51,2012-06-22,"('e', 'i')",0.2609625668449198,model,8.0
98,gr41rd51,2012-06-22,"('e', 'i')",0.2641711229946524,model,9.0
99,gr41rd51,2012-06-23,"('e', 'i')",0.2626201923076923,ground_truth,
100,gr41rd51,2012-06-23,"('e', 'i')",0.24763593380614657,model,0.0
101,gr41rd51,2012-06-23,"('e', 'i')",0.2694117647058823,model,1.0
102,gr41rd51,2012-06-23,"('e', 'i')",0.25943678849610546,model,2.0
103,gr41rd51,2012-06-23,"('e', 'i')",0.2650531286894923,model,3.0
104,gr41rd51,2012-06-23,"('e', 'i')",0.2577751196172249,model,4.0
105,gr41rd51,2012-06-23,"('e', 'i')",0.25404433792690234,model,5.0
106,gr41rd51,2012-06-23,"('e', 'i')",0.2546323968918111,model,6.0
107,gr41rd51,2012-06-23,"('e', 'i')",0.2583532219570406,model,7.0
108,gr41rd51,2012-06-23,"('e', 'i')",0.26325193567599764,model,8.0
109,gr41rd51,2012-06-23,"('e', 'i')",0.266984505363528,model,9.0
110,gy6or6,2012-03-23,"('e', 'e')",0.500327011118378,ground_truth,
111,gy6or6,2012-03-23,"('e', 'e')",0.4996734160679295,model,0.0
112,gy6or6,2012-03-23,"('e', 'e')",0.4996734160679295,model,1.0
113,gy6or6,2012-03-23,"('e', 'e')",0.4993464052287582,model,2.0
114,gy6or6,2012-03-23,"('e', 'e')",0.5,model,3.0
115,gy6or6,2012-03-23,"('e', 'e')",0.5,model,4.0
116,gy6or6,2012-03-23,"('e', 'e')",0.5003261578604045,model,5.0
117,gy6or6,2012-03-23,"('e', 'e')",0.4996734160679295,model,6.0
118,gy6or6,2012-03-23,"('e', 'e')",0.5003261578604045,model,7.0
119,gy6or6,2012-03-23,"('e', 'e')",0.5,model,8.0
120,gy6or6,2012-03-23,"('e', 'e')",0.5,model,9.0
121,gy6or6,2012-03-24,"('e', 'e')",0.5,ground_truth,
122,gy6or6,2012-03-24,"('e', 'e')",0.5,model,0.0
123,gy6or6,2012-03-24,"('e', 'e')",0.5,model,1.0
124,gy6or6,2012-03-24,"('e', 'e')",0.5004821600771456,model,2.0
125,gy6or6,2012-03-24,"('e', 'e')",0.5002411963338157,model,3.0
126,gy6or6,2012-03-24,"('e', 'e')",0.5002411963338157,model,4.0
