bird,train_set_dur,replicate_num,model_name,avg_acc,avg_levenshtein,avg_loss,avg_segment_error_rate,avg_error,train_set_dur_ind
0,120.0,1,TweetyNet,0.9678421998635316,13.743589743589745,0.1064873597560784,0.3115159177268803,3.2157800136468406,3
0,120.0,10,TweetyNet,0.9023533356495392,14.897435897435898,0.5141641665727664,0.4537798448761948,9.764666435046077,3
0,120.0,2,TweetyNet,0.9316236055814304,12.35897435897436,0.3883826182438777,0.3295950609859833,6.8376394418569575,3
0,120.0,3,TweetyNet,0.9540606767703326,14.17948717948718,0.1305141448974609,0.3929030889781313,4.593932322966743,3
0,120.0,4,TweetyNet,0.9576807266626602,16.71794871794872,0.1360522416921762,0.4330339116019583,4.231927333733976,3
0,120.0,5,TweetyNet,0.9013716868865184,12.743589743589745,0.3104827587421124,0.427457090478143,9.862831311348163,3
0,120.0,6,TweetyNet,0.8982170300605969,14.923076923076923,0.286954708588429,0.4902065170852506,10.178296993940306,3
0,120.0,7,TweetyNet,0.9745460901504908,11.051282051282053,0.0889127315619053,0.2367322285272968,2.5453909849509238,3
0,120.0,8,TweetyNet,0.9671724759615384,15.102564102564102,0.1136555671691894,0.3412456413896199,3.2827524038461564,3
0,120.0,9,TweetyNet,0.9493621434920874,17.743589743589745,0.1497663228939741,0.5579404991029663,5.063785650791264,3
0,180.0,1,TweetyNet,0.9386821649013422,12.76923076923077,0.2422734774076021,0.3977835706227567,6.131783509865785,4
0,180.0,10,TweetyNet,0.976172814002404,10.743589743589745,0.077163910254454,0.2352160108377733,2.3827185997596034,4
0,180.0,2,TweetyNet,0.8986010429186698,15.076923076923077,0.4181431990403395,0.5338491777038358,10.139895708133018,4
0,180.0,3,TweetyNet,0.9675272428072416,12.82051282051282,0.1067929390149238,0.3656930639970441,3.247275719275844,4
0,180.0,4,TweetyNet,0.948333251170623,12.256410256410255,0.1771243535555326,0.3677522994968563,5.166674882937706,4
0,180.0,5,TweetyNet,0.9461239545773236,14.615384615384617,0.1812525529127854,0.424227410883216,5.387604542267644,4
0,180.0,6,TweetyNet,0.9628796699719552,16.025641025641026,0.1332448568099584,0.3389003096705216,3.7120330028044823,4
0,180.0,7,TweetyNet,0.9757112356332632,9.974358974358974,0.0760829387566982,0.2183299065935336,2.428876436673677,4
0,180.0,8,TweetyNet,0.9763333247258112,10.64102564102564,0.079820345609616,0.240421570026469,2.3666675274188753,4
0,180.0,9,TweetyNet,0.9592439700395632,16.743589743589745,0.1298981935550005,0.3798945831539846,4.075602996043681,4
