,cleanup,avg_acc,avg_levenshtein,avg_pct_boundary_err,avg_segment_error_rate,train_set_dur,replicate_num,model_name,results_dir,toml_path,training_replicate_csv_path,checkpoint_path,spect_scalar_path,min_segment_dur,avg_error,animal_id,train_set_dur_ind,species
2,min_segment_dur_majority_vote,0.9771998179104776,9.396039603960396,0.5624025014513911,6.25894227946241,600,1,TweetyNet,results/Canaries/learncurve/llb11/results_200610_101801,results/Canaries/learncurve/llb11/results_200610_101801/config-llb11-lc_first_submission.toml,data/Canaries/llb11/annotated_prep_200608_221003_linux_npz.csv,results/Canaries/learncurve/llb11/results_200610_101801/train_dur_600s/replicate_1/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,,0.005,2.2800182089522503,llb11,9,Canary
3,none,0.9786140800303504,16.574257425742573,0.6039565522482949,10.76295404450565,600,1,TweetyNet,results/Canaries/learncurve/llb11/results_200610_101801,results/Canaries/learncurve/llb11/results_200610_101801/config-llb11-lc_first_submission.toml,data/Canaries/llb11/annotated_prep_200608_221003_linux_npz.csv,results/Canaries/learncurve/llb11/results_200610_101801/train_dur_600s/replicate_1/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,,0.005,2.138591996964967,llb11,9,Canary
6,min_segment_dur_majority_vote,0.9794057748449746,7.886138613861386,0.6132923731036753,5.473338802889581,600,2,TweetyNet,results/Canaries/learncurve/llb11/results_200610_101801,results/Canaries/learncurve/llb11/results_200610_101801/config-llb11-lc_first_submission.toml,data/Canaries/llb11/annotated_prep_200608_221003_linux_npz.csv,results/Canaries/learncurve/llb11/results_200610_101801/train_dur_600s/replicate_2/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,,0.005,2.0594225155025403,llb11,9,Canary
7,none,0.9802868218219694,14.876237623762377,0.6409981821129673,9.81285110177831,600,2,TweetyNet,results/Canaries/learncurve/llb11/results_200610_101801,results/Canaries/learncurve/llb11/results_200610_101801/config-llb11-lc_first_submission.toml,data/Canaries/llb11/annotated_prep_200608_221003_linux_npz.csv,results/Canaries/learncurve/llb11/results_200610_101801/train_dur_600s/replicate_2/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,,0.005,1.9713178178030644,llb11,9,Canary
10,min_segment_dur_majority_vote,0.9734612563063816,9.277227722772276,0.5586040633848911,7.7869604294587695,600,3,TweetyNet,results/Canaries/learncurve/llb11/results_200610_101801,results/Canaries/learncurve/llb11/results_200610_101801/config-llb11-lc_first_submission.toml,data/Canaries/llb11/annotated_prep_200608_221003_linux_npz.csv,results/Canaries/learncurve/llb11/results_200610_101801/train_dur_600s/replicate_3/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,,0.005,2.6538743693618416,llb11,9,Canary
11,none,0.9737435044456522,20.15346534653465,0.5660473432496008,14.45464221484035,600,3,TweetyNet,results/Canaries/learncurve/llb11/results_200610_101801,results/Canaries/learncurve/llb11/results_200610_101801/config-llb11-lc_first_submission.toml,data/Canaries/llb11/annotated_prep_200608_221003_linux_npz.csv,results/Canaries/learncurve/llb11/results_200610_101801/train_dur_600s/replicate_3/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,,0.005,2.625649555434784,llb11,9,Canary
14,min_segment_dur_majority_vote,0.9782330811790036,8.099009900990099,0.6024916467896345,5.8458866620551495,600,4,TweetyNet,results/Canaries/learncurve/llb11/results_200610_101801,results/Canaries/learncurve/llb11/results_200610_101801/config-llb11-lc_first_submission.toml,data/Canaries/llb11/annotated_prep_200608_221003_linux_npz.csv,results/Canaries/learncurve/llb11/results_200610_101801/train_dur_600s/replicate_4/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,,0.005,2.176691882099646,llb11,9,Canary
15,none,0.9792369974710966,16.024752475247524,0.6348960448817638,10.50063242045613,600,4,TweetyNet,results/Canaries/learncurve/llb11/results_200610_101801,results/Canaries/learncurve/llb11/results_200610_101801/config-llb11-lc_first_submission.toml,data/Canaries/llb11/annotated_prep_200608_221003_linux_npz.csv,results/Canaries/learncurve/llb11/results_200610_101801/train_dur_600s/replicate_4/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,,0.005,2.07630025289034,llb11,9,Canary
18,min_segment_dur_majority_vote,0.9790965854065606,8.242574257425742,0.6029611433278896,7.67421599038208,600,5,TweetyNet,results/Canaries/learncurve/llb11/results_200610_101801,results/Canaries/learncurve/llb11/results_200610_101801/config-llb11-lc_first_submission.toml,data/Canaries/llb11/annotated_prep_200608_221003_linux_npz.csv,results/Canaries/learncurve/llb11/results_200610_101801/train_dur_600s/replicate_5/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,,0.005,2.090341459343936,llb11,9,Canary
19,none,0.9799094467226211,15.925742574257423,0.6337086371157439,12.48679661083488,600,5,TweetyNet,results/Canaries/learncurve/llb11/results_200610_101801,results/Canaries/learncurve/llb11/results_200610_101801/config-llb11-lc_first_submission.toml,data/Canaries/llb11/annotated_prep_200608_221003_linux_npz.csv,results/Canaries/learncurve/llb11/results_200610_101801/train_dur_600s/replicate_5/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,,0.005,2.009055327737874,llb11,9,Canary
