,cleanup,avg_acc,avg_levenshtein,avg_pct_boundary_err,avg_segment_error_rate,train_set_dur,replicate_num,model_name,results_dir,toml_path,training_replicate_csv_path,checkpoint_path,spect_scalar_path,min_segment_dur,avg_error,animal_id,train_set_dur_ind,species
278,min_segment_dur_majority_vote,0.974805579901412,1.6585365853658536,0.6473844831700676,3.7845136403530897,45,10,TweetyNet,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/config_BirdsongRecognition_bird00.toml,data/BirdsongRecognition/Bird0/Wave_prep_210528_224944.csv,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_45s/replicate_10/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_45s/replicate_10/StandardizeSpect,0.02,2.519442009858785,Bird0,1,Bengalese Finch
279,none,0.9697832541005188,17.341463414634145,0.5029959643332497,35.36154276369331,45,10,TweetyNet,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/config_BirdsongRecognition_bird00.toml,data/BirdsongRecognition/Bird0/Wave_prep_210528_224944.csv,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_45s/replicate_10/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_45s/replicate_10/StandardizeSpect,0.02,3.021674589948109,Bird0,1,Bengalese Finch
282,min_segment_dur_majority_vote,0.977198092023016,0.7368421052631579,0.7597766092385587,1.3426252079565402,75,1,TweetyNet,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/config_BirdsongRecognition_bird04.toml,data/BirdsongRecognition/Bird4/Wave_prep_210528_224959.csv,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/train_dur_75s/replicate_1/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/train_dur_75s/replicate_1/StandardizeSpect,0.02,2.2801907976984004,Bird4,2,Bengalese Finch
283,none,0.9752710164010072,7.263157894736842,0.6941718452410877,11.542864003798769,75,1,TweetyNet,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/config_BirdsongRecognition_bird04.toml,data/BirdsongRecognition/Bird4/Wave_prep_210528_224959.csv,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/train_dur_75s/replicate_1/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/train_dur_75s/replicate_1/StandardizeSpect,0.02,2.472898359899278,Bird4,2,Bengalese Finch
286,min_segment_dur_majority_vote,0.9776274582799908,0.6052631578947368,0.786631510345973,1.08406643942515,75,2,TweetyNet,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/config_BirdsongRecognition_bird04.toml,data/BirdsongRecognition/Bird4/Wave_prep_210528_224959.csv,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/train_dur_75s/replicate_2/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/train_dur_75s/replicate_2/StandardizeSpect,0.02,2.237254172000924,Bird4,2,Bengalese Finch
287,none,0.9751371652109656,6.394736842105263,0.7093974980313135,10.458577892501781,75,2,TweetyNet,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/config_BirdsongRecognition_bird04.toml,data/BirdsongRecognition/Bird4/Wave_prep_210528_224959.csv,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/train_dur_75s/replicate_2/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/train_dur_75s/replicate_2/StandardizeSpect,0.02,2.4862834789034505,Bird4,2,Bengalese Finch
290,min_segment_dur_majority_vote,0.9772997345266304,0.5263157894736842,0.7995185002553628,0.8834551029344899,75,3,TweetyNet,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/config_BirdsongRecognition_bird04.toml,data/BirdsongRecognition/Bird4/Wave_prep_210528_224959.csv,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/train_dur_75s/replicate_3/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/train_dur_75s/replicate_3/StandardizeSpect,0.02,2.270026547336945,Bird4,2,Bengalese Finch
291,none,0.9756984877685988,5.026315789473684,0.7358865173150037,7.841655735873109,75,3,TweetyNet,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/config_BirdsongRecognition_bird04.toml,data/BirdsongRecognition/Bird4/Wave_prep_210528_224959.csv,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/train_dur_75s/replicate_3/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/train_dur_75s/replicate_3/StandardizeSpect,0.02,2.43015122314012,Bird4,2,Bengalese Finch
294,min_segment_dur_majority_vote,0.976773920691124,0.868421052631579,0.7738180995075892,1.53940330298455,75,4,TweetyNet,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/config_BirdsongRecognition_bird04.toml,data/BirdsongRecognition/Bird4/Wave_prep_210528_224959.csv,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/train_dur_75s/replicate_4/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/train_dur_75s/replicate_4/StandardizeSpect,0.02,2.32260793088761,Bird4,2,Bengalese Finch
295,none,0.974993788891246,5.947368421052632,0.7077560521864776,9.53857621079649,75,4,TweetyNet,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/config_BirdsongRecognition_bird04.toml,data/BirdsongRecognition/Bird4/Wave_prep_210528_224959.csv,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/train_dur_75s/replicate_4/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/learncurve/Bird4/results_210529_031959/train_dur_75s/replicate_4/StandardizeSpect,0.02,2.500621110875412,Bird4,2,Bengalese Finch
