cleanup,avg_acc,avg_levenshtein,avg_pct_boundary_err,avg_segment_error_rate,train_set_dur,replicate_num,model_name,avg_error,animal_id,day,train_set_dur_ind
majority_vote,0.9854659331749168,4.758064516129032,0.6940619904018436,0.0962416274708989,600,1,TweetyNet,1.453406682508318,bl26lb16,2012-04-20,0
min_segment_dur,0.9849368958094438,4.225806451612903,0.6943808412423033,0.06352299078340773,600,1,TweetyNet,1.5063104190556231,bl26lb16,2012-04-20,0
min_segment_dur_majority_vote,0.9853710253789201,1.6612903225806452,0.7147268326076586,0.0423068908014174,600,1,TweetyNet,1.4628974621079927,bl26lb16,2012-04-20,0
none,0.985031598459591,7.516129032258065,0.6746834309835613,0.11921802628655943,600,1,TweetyNet,1.4968401540409015,bl26lb16,2012-04-20,0
majority_vote,0.9844656534360048,4.080645161290323,0.6930478149146605,0.09353685025494662,600,2,TweetyNet,1.5534346563995216,bl26lb16,2012-04-20,0
min_segment_dur,0.9835442780681395,5.225806451612903,0.6648464965996083,0.07918989347489698,600,2,TweetyNet,1.6455721931860512,bl26lb16,2012-04-20,0
min_segment_dur_majority_vote,0.9840546137730289,1.8548387096774193,0.6896531070596796,0.044810410842983296,600,2,TweetyNet,1.594538622697106,bl26lb16,2012-04-20,0
none,0.9839548986064165,7.67741935483871,0.667314574959086,0.13380540774172586,600,2,TweetyNet,1.6045101393583505,bl26lb16,2012-04-20,0
majority_vote,0.9845416243209995,5.790322580645161,0.669205429222518,0.14236718972396292,600,3,TweetyNet,1.5458375679000547,bl26lb16,2012-04-20,0
min_segment_dur,0.9845025634205508,4.258064516129032,0.6877772054122305,0.06930079014487965,600,3,TweetyNet,1.5497436579449242,bl26lb16,2012-04-20,0
min_segment_dur_majority_vote,0.9847469206013983,1.7741935483870968,0.702120823404813,0.04822907175115067,600,3,TweetyNet,1.5253079398601654,bl26lb16,2012-04-20,0
none,0.9842960215588512,8.451612903225806,0.6565821048667315,0.16513531611523527,600,3,TweetyNet,1.5703978441148791,bl26lb16,2012-04-20,0
majority_vote,0.9853603193866304,5.225806451612903,0.6941930845555956,0.10610403004196899,600,4,TweetyNet,1.4639680613369621,bl26lb16,2012-04-20,0
min_segment_dur,0.9849667854818132,4.645161290322581,0.6873356920409587,0.06803315419686967,600,4,TweetyNet,1.5033214518186844,bl26lb16,2012-04-20,0
min_segment_dur_majority_vote,0.9852722152554051,1.7096774193548387,0.7049323648222272,0.04099789541891822,600,4,TweetyNet,1.4727784744594907,bl26lb16,2012-04-20,0
none,0.9850630376465104,8.225806451612904,0.6784516035643849,0.13374399299225478,600,4,TweetyNet,1.4936962353489625,bl26lb16,2012-04-20,0
majority_vote,0.9838264728450204,5.806451612903226,0.6682312727840237,0.11510649998590987,600,5,TweetyNet,1.617352715497955,bl26lb16,2012-04-20,0
min_segment_dur,0.9836378649165533,3.8225806451612905,0.6803304294891748,0.07633244061124402,600,5,TweetyNet,1.636213508344675,bl26lb16,2012-04-20,0
min_segment_dur_majority_vote,0.9837955321706731,1.6612903225806452,0.6903744516237207,0.0498533055241563,600,5,TweetyNet,1.620446782932694,bl26lb16,2012-04-20,0
none,0.9836685780552767,8.17741935483871,0.6581842099068196,0.14449253941692078,600,5,TweetyNet,1.6331421944723257,bl26lb16,2012-04-20,0
majority_vote,0.9855617640155115,5.612903225806452,0.6906684986701576,0.13785193623037104,600,6,TweetyNet,1.4438235984488457,bl26lb16,2012-04-20,0
min_segment_dur,0.9851788132149855,4.564516129032258,0.6867632538477517,0.06202045965377523,600,6,TweetyNet,1.482118678501454,bl26lb16,2012-04-20,0
min_segment_dur_majority_vote,0.9856184444850047,1.6774193548387097,0.7075133669762086,0.042380139303814617,600,6,TweetyNet,1.4381555514995314,bl26lb16,2012-04-20,0
none,0.9851207601787105,8.709677419354838,0.6702903771674948,0.1639404393128256,600,6,TweetyNet,1.487923982128947,bl26lb16,2012-04-20,0
majority_vote,0.9860424762812493,4.82258064516129,0.7202231370641408,0.10226166355413407,600,7,TweetyNet,1.3957523718750697,bl26lb16,2012-04-20,0
min_segment_dur,0.9857771067363099,3.1129032258064515,0.724056957240154,0.058145265083345755,600,7,TweetyNet,1.4222893263690084,bl26lb16,2012-04-20,0
min_segment_dur_majority_vote,0.9860301507255118,1.4193548387096775,0.7406846421993445,0.03878609833024922,600,7,TweetyNet,1.3969849274488189,bl26lb16,2012-04-20,0
none,0.9857894322920472,6.612903225806452,0.7050750888908612,0.1224147873490148,600,7,TweetyNet,1.4210567707952815,bl26lb16,2012-04-20,0
majority_vote,0.9845343106086049,5.338709677419355,0.6743951655828283,0.13430123835684446,600,8,TweetyNet,1.5465689391395143,bl26lb16,2012-04-20,0
min_segment_dur,0.984390868401238,4.516129032258065,0.6915561957639302,0.0647818139418387,600,8,TweetyNet,1.5609131598761983,bl26lb16,2012-04-20,0
min_segment_dur_majority_vote,0.9846016075166474,1.8709677419354838,0.7032883241480888,0.047021828056016325,600,8,TweetyNet,1.5398392483352619,bl26lb16,2012-04-20,0
none,0.9843235714931956,8.129032258064516,0.6629519036926734,0.15297419711539026,600,8,TweetyNet,1.5676428506804396,bl26lb16,2012-04-20,0
majority_vote,0.985044023630857,6.580645161290323,0.6724322227856546,0.19669568793933656,600,9,TweetyNet,1.4955976369143031,bl26lb16,2012-04-20,0
min_segment_dur,0.9850891809118759,3.806451612903226,0.6811267192018647,0.08935463745354709,600,9,TweetyNet,1.4910819088124083,bl26lb16,2012-04-20,0
min_segment_dur_majority_vote,0.9853683776847947,2.2096774193548385,0.6940372231122305,0.0742475301009652,600,9,TweetyNet,1.4631622315205317,bl26lb16,2012-04-20,0
none,0.9847678810204566,8.35483870967742,0.6600800185711991,0.21458993103130736,600,9,TweetyNet,1.5232118979543352,bl26lb16,2012-04-20,0
majority_vote,0.9850081893900514,5.596774193548387,0.6916026104239792,0.12000967246797145,600,10,TweetyNet,1.4991810609948586,bl26lb16,2012-04-20,0
min_segment_dur,0.9849244385094449,3.403225806451613,0.7024621938033284,0.06761843790695335,600,10,TweetyNet,1.5075561490555112,bl26lb16,2012-04-20,0
min_segment_dur_majority_vote,0.9851130248593374,1.4838709677419355,0.7155363009790608,0.047564952633416674,600,10,TweetyNet,1.4886975140662617,bl26lb16,2012-04-20,0
none,0.9848196030401589,7.693548387096774,0.6795214276921632,0.14329382323882633,600,10,TweetyNet,1.518039695984108,bl26lb16,2012-04-20,0
majority_vote,0.9858036108265629,6.571428571428571,0.6507360915588271,0.07824691298451501,600,1,TweetyNet,1.419638917343713,bl26lb16,2012-04-21,0
min_segment_dur,0.9857082031164595,4.928571428571429,0.6540363916635596,0.05169341291678913,600,1,TweetyNet,1.4291796883540542,bl26lb16,2012-04-21,0
min_segment_dur_majority_vote,0.9859623115790634,1.9523809523809523,0.6677451087041365,0.025311850091672555,600,1,TweetyNet,1.4037688420936556,bl26lb16,2012-04-21,0
none,0.9855542004857385,9.857142857142858,0.6378220561282423,0.10836976869539174,600,1,TweetyNet,1.4445799514261504,bl26lb16,2012-04-21,0
majority_vote,0.984855181563214,6.214285714285714,0.6548076311703467,0.07896384969192692,600,2,TweetyNet,1.5144818436785945,bl26lb16,2012-04-21,0
min_segment_dur,0.9846698923051281,5.809523809523809,0.6478871781972403,0.06417207411086838,600,2,TweetyNet,1.5330107694871864,bl26lb16,2012-04-21,0
min_segment_dur_majority_vote,0.9849419316526477,1.7857142857142858,0.6664643725027057,0.024572326381596225,600,2,TweetyNet,1.505806834735235,bl26lb16,2012-04-21,0
none,0.9846048857519282,10.619047619047619,0.6378238066934123,0.12396715861863389,600,2,TweetyNet,1.5395114248071828,bl26lb16,2012-04-21,0
majority_vote,0.9852934363786956,7.976190476190476,0.6463317139459207,0.10126618497666087,600,3,TweetyNet,1.4706563621304403,bl26lb16,2012-04-21,0
min_segment_dur,0.9852092098018242,5.238095238095238,0.6471538396588054,0.05618871488026642,600,3,TweetyNet,1.4790790198175752,bl26lb16,2012-04-21,0
min_segment_dur_majority_vote,0.9856725447718121,2.0476190476190474,0.6714258856487968,0.026810988952945102,600,3,TweetyNet,1.4327455228187902,bl26lb16,2012-04-21,0
none,0.9848312503912541,11.285714285714286,0.6229879446649329,0.13261152787611993,600,3,TweetyNet,1.5168749608745924,bl26lb16,2012-04-21,0
majority_vote,0.9857259509002874,5.690476190476191,0.651321389166195,0.07309996416406982,600,4,TweetyNet,1.4274049099712638,bl26lb16,2012-04-21,0
min_segment_dur,0.9850791700857525,5.404761904761905,0.6349587175277098,0.06290454588582153,600,4,TweetyNet,1.492082991424748,bl26lb16,2012-04-21,0
min_segment_dur_majority_vote,0.9856799988375806,1.7142857142857142,0.6621230195242278,0.024834046963480277,600,4,TweetyNet,1.4320001162419382,bl26lb16,2012-04-21,0
none,0.9851337204926215,9.595238095238095,0.6236512215617436,0.11468630353941482,600,4,TweetyNet,1.486627950737851,bl26lb16,2012-04-21,0
majority_vote,0.9857239185649423,6.666666666666667,0.6635082593781788,0.0823105986424865,600,5,TweetyNet,1.4276081435057653,bl26lb16,2012-04-21,0
min_segment_dur,0.984911107294578,4.761904761904762,0.6408275714450378,0.050109258809170984,600,5,TweetyNet,1.508889270542202,bl26lb16,2012-04-21,0
min_segment_dur_majority_vote,0.9855753511900496,1.7380952380952381,0.6680202190195349,0.023169666311311215,600,5,TweetyNet,1.4424648809950424,bl26lb16,2012-04-21,0
none,0.9850561163937098,10.047619047619047,0.6360924999564462,0.11326638845682632,600,5,TweetyNet,1.4943883606290176,bl26lb16,2012-04-21,0
majority_vote,0.9862575477778406,7.809523809523809,0.6679595663764923,0.10670823431270796,600,6,TweetyNet,1.3742452222159418,bl26lb16,2012-04-21,0
min_segment_dur,0.9864676123143719,5.166666666666667,0.6810407670742836,0.05869454677491469,600,6,TweetyNet,1.3532387685628144,bl26lb16,2012-04-21,0
min_segment_dur_majority_vote,0.9868404672107042,1.7619047619047619,0.7014030917726009,0.02495396315921765,600,6,TweetyNet,1.3159532789295825,bl26lb16,2012-04-21,0
none,0.9858846928815084,11.404761904761905,0.6487453231054202,0.14277973024320562,600,6,TweetyNet,1.4115307118491627,bl26lb16,2012-04-21,0
majority_vote,0.9863838257468241,6.666666666666667,0.6724242920118308,0.0879165656750997,600,7,TweetyNet,1.361617425317585,bl26lb16,2012-04-21,0
min_segment_dur,0.9863994768787416,4.190476190476191,0.6818965132832423,0.05255653628203211,600,7,TweetyNet,1.3600523121258368,bl26lb16,2012-04-21,0
min_segment_dur_majority_vote,0.9866990647356443,1.5476190476190477,0.7007139044778157,0.021418920566976602,600,7,TweetyNet,1.3300935264355718,bl26lb16,2012-04-21,0
none,0.9860757031623983,9.642857142857142,0.655157760950031,0.12621060050213287,600,7,TweetyNet,1.3924296837601657,bl26lb16,2012-04-21,0
majority_vote,0.9856436033361528,6.476190476190476,0.6532424226784934,0.08749063375648145,600,8,TweetyNet,1.4356396663847248,bl26lb16,2012-04-21,0
min_segment_dur,0.9855671494244821,5.833333333333333,0.6432646050608462,0.07384640675040617,600,8,TweetyNet,1.4432850575517908,bl26lb16,2012-04-21,0
min_segment_dur_majority_vote,0.9859529668537957,2.0714285714285716,0.6696846276084631,0.02978756516712756,600,8,TweetyNet,1.4047033146204257,bl26lb16,2012-04-21,0
none,0.9852607030256595,10.571428571428571,0.6279670205304313,0.13563389031914272,600,8,TweetyNet,1.473929697434051,bl26lb16,2012-04-21,0
majority_vote,0.9851254503680926,8.880952380952381,0.6277059726303823,0.11710126064989586,600,9,TweetyNet,1.4874549631907374,bl26lb16,2012-04-21,0
min_segment_dur,0.9856708908645033,4.785714285714286,0.6466790098781418,0.059691139758990305,600,9,TweetyNet,1.4329109135496676,bl26lb16,2012-04-21,0
min_segment_dur_majority_vote,0.9858834984737401,3.0,0.6577168839482301,0.041788246083262606,600,9,TweetyNet,1.4116501526259873,bl26lb16,2012-04-21,0
none,0.9849157598776761,10.80952380952381,0.617345796990846,0.13693249065991334,600,9,TweetyNet,1.50842401223239,bl26lb16,2012-04-21,0
majority_vote,0.9857554083303338,6.928571428571429,0.6535372334502773,0.0993878114135083,600,10,TweetyNet,1.4244591669666185,bl26lb16,2012-04-21,0
