,120s,180s,30s,45s,480s,600s,75s
0,0.004843992337356217,0.011991882636256616,0.007319821689839764,0.009996887016912065,0.0025262730907378143,0.0018534715235564096,0.02605506145280635
1,,,,,,,
2,0.0021081851067789223,0.0,0.0032203059435976576,0.003220305943597658,0.0,0.0,0.00281091347570523
3,0.017725557676236098,0.01718718142784929,0.02089562007591644,0.01990944512995138,0.015237661847794185,0.010887798201933132,0.022251998505332295
4,0.02780887148615227,0.08793937305515279,0.09406853293683755,0.053291650377896904,0.10681760154581267,0.1108001203368781,0.05378971401051815
5,0.02948890635253891,0.03532166303368877,0.030896297288344973,0.027504277532002706,0.017456883235403838,0.027536015688802457,0.026136496119076074
6,0.00640480908620002,0.00550982093372943,0.01150966775326871,0.017219815288425516,0.007675704338903057,0.0038584338115899507,0.009542928958812782
7,0.0021284561174210164,0.006407050480368337,0.044547361937844324,0.014595127662315594,0.0033859263195498133,0.0036487819155789003,0.004520253566747368
8,0.04734854291257223,0.0035954582094231214,0.023704588118029956,0.035637583329826784,0.002143917057741268,0.0021439170577412683,0.010239869469147947
9,0.002819274940552796,0.003907517021365171,0.010953002914884128,0.016268290651422126,0.0101063483751717,0.00470738025990702,0.009158528466106626
10,0.029692083043652336,0.024311182636160174,0.040936132978084475,0.03630397294270143,0.008626449550543045,0.012395011985994358,0.014235766538575735
11,0.0022546651386484025,0.0026143790849673175,0.01148170885249021,0.006033816164142716,0.0017929237548163746,0.001390329894521748,0.0023588343049174543
12,0.019362818861644173,0.011484908926749082,0.07956423342800942,0.05531983255128933,0.010547912355733026,0.010103259443457847,0.03392319789956847
13,0.007099419208953348,0.005128017827300072,0.10680293219657053,0.1067653092708307,0.003916588309780921,0.006675183262285656,0.01889960404005091
14,0.002297756602334807,0.002002972510345048,0.0036486038724702556,0.0031514355693669075,0.001479564442156214,,0.0022629180982368215
15,0.0036983845960487237,0.002092009435204091,0.004038297971950379,0.004769988405223394,0.00198515851870358,,0.004324417345848157
