,120s,180s,30s,45s,480s,600s,75s
0,0.16461366181410975,0.16461366181410975,0.16461366181410975,0.16461366181410975,0.16461366181410975,0.16461366181410975,0.16461366181410975
1,0.011944755505785741,0.011944755505785741,0.011944755505785741,0.011944755505785741,0.011944755505785741,0.011944755505785741,0.011944755505785741
2,0.005599104143337067,0.005599104143337067,0.005599104143337067,0.005599104143337067,0.005599104143337067,0.005599104143337067,0.005599104143337067
3,0.10347826086956523,0.10347826086956523,0.10347826086956523,0.10347826086956523,0.10347826086956523,0.10347826086956523,0.10347826086956523
4,0.016923076923076923,0.016923076923076923,0.016923076923076923,0.016923076923076923,0.016923076923076923,0.016923076923076923,0.016923076923076923
5,0.04,0.04,0.04,0.04,0.04,0.04,0.04
6,0.14817880794701987,0.14817880794701987,0.14817880794701987,0.14817880794701987,0.14817880794701987,0.14817880794701987,0.14817880794701987
7,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.018518518518518517
8,0.14012738853503184,0.14012738853503184,0.14012738853503184,0.14012738853503184,0.14012738853503184,0.14012738853503184,0.14012738853503184
9,0.23560209424083767,0.23560209424083767,0.23560209424083767,0.23560209424083767,0.23560209424083767,0.23560209424083767,0.23560209424083767
10,0.05162523900573613,0.05162523900573613,0.05162523900573613,0.05162523900573613,0.05162523900573613,0.05162523900573613,0.05162523900573613
11,0.0774378585086042,0.0774378585086042,0.0774378585086042,0.0774378585086042,0.0774378585086042,0.0774378585086042,0.0774378585086042
12,0.13479923518164436,0.13479923518164436,0.13479923518164436,0.13479923518164436,0.13479923518164436,0.13479923518164436,0.13479923518164436
13,0.02813852813852814,0.02813852813852814,0.02813852813852814,0.02813852813852814,0.02813852813852814,0.02813852813852814,0.02813852813852814
14,0.1089866156787763,0.1089866156787763,0.1089866156787763,0.1089866156787763,0.1089866156787763,,0.1089866156787763
15,0.21882581271227558,0.21882581271227558,0.21882581271227558,0.21882581271227558,0.21882581271227558,,0.21882581271227558
