,120s,180s,30s,45s,480s,600s,75s
0,0.01172043010752689,0.01952688172043012,0.04012903225806454,0.034150537634408604,0.00580645161290323,0.004795698924731184,0.022559139784946225
1,,,,,,,
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.04411764705882354,0.04411764705882354,0.04411764705882354,0.08823529411764706,0.01470588235294118,0.05882352941176472,0.04444444444444445
4,0.9,0.5,1.0,0.7,0.3,0.8,0.7
5,0.22242990654205608,0.22242990654205608,0.35514018691588783,0.3271028037383178,0.280373831775701,0.18504672897196264,0.24859813084112153
6,0.016060606060606063,0.005454545454545457,0.06151515151515152,0.040454545454545465,0.0,0.010151515151515156,0.03151515151515151
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.04745762711864406,0.04745762711864406,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.030487804878048787,0.0,0.014634146341463417,0.0
10,0.20270270270270271,0.18614864864864863,0.2773648648648649,0.24560810810810813,0.055405405405405395,0.05608108108108108,0.16081081081081083
11,0.0,0.010130718954248363,0.03627450980392157,0.03431372549019608,0.0,0.0,0.035620915032679744
12,0.153319783197832,0.18340108401084013,0.35101626016260157,0.30467479674796744,0.13109756097560976,0.08333333333333333,0.2997289972899728
13,0.2,0.1,0.4,0.4,0.0,0.0,0.3
14,0.01995798319327735,0.024159663865546254,0.01995798319327735,0.023739495798319365,0.01995798319327735,,0.01995798319327735
15,0.009097421203438405,0.012750716332378231,0.031303724928366736,0.02263610315186245,0.006088825214899729,,0.017191977077363908
