,species,train_dur,segmentation,mean_diff,std_diff,pval_wilcoxon,pval_levene
0,Bengalese_Finches,75,manually-cleaned,2.411492746535054,1.68353760349834,3.569388204466033e-08,0.02936930756231082
1,Bengalese_Finches,75,semi-automated-cleaning,0.9823859091070265,2.0717835657249473,0.004566618075769866,0.6200836009151625
2,Bengalese_Finches,75,not-cleaned,-3.3792821939306017,2.335667228169884,5.728198620801617e-07,0.0491173085867146
3,Bengalese_Finches,120,manually-cleaned,1.6366024919436044,0.7299954660456,3.569388204466033e-08,0.011969278596965314
4,Bengalese_Finches,120,semi-automated-cleaning,0.22890431763774455,1.3045173518067998,0.24770096759107896,0.0004660732687264845
5,Bengalese_Finches,120,not-cleaned,-4.137486927576223,2.0179125352217144,3.569388204466033e-08,2.1884017229177384e-05
6,Bengalese_Finches,600,manually-cleaned,0.6412752626828352,0.3057546096373762,3.569388204466033e-08,0.32510803494410123
7,Bengalese_Finches,600,semi-automated-cleaning,-0.7305665427632282,0.9833940868587733,0.00014244309785413814,2.8871861383360015e-08
8,Bengalese_Finches,600,not-cleaned,-5.1254145205321135,1.9453839094450387,3.569388204466033e-08,4.204059472441806e-07
9,Bengalese_Finches,480,manually-cleaned,0.6753832833158443,0.35396962005427685,3.569388204466033e-08,0.12210851849196933
10,Bengalese_Finches,480,semi-automated-cleaning,-0.678158541470221,0.9094463260555519,5.2137951579719406e-05,8.827775316757583e-08
11,Bengalese_Finches,480,not-cleaned,-5.070722154878427,1.9798959280757067,3.569388204466033e-08,4.1843422088010866e-07
12,Bengalese_Finches,30,manually-cleaned,3.55559873578499,1.4701833988949047,3.569388204466033e-08,0.011873715297187564
13,Bengalese_Finches,30,semi-automated-cleaning,2.1411828508208326,1.7999190697558487,2.2803373500310497e-07,0.6461818773604836
14,Bengalese_Finches,30,not-cleaned,-2.243835742238086,2.355832451787821,1.2203270365437302e-06,0.007641576646332211
15,Bengalese_Finches,180,manually-cleaned,1.4160387552665992,0.6241029235011386,3.569388204466033e-08,0.03549543033417745
16,Bengalese_Finches,180,semi-automated-cleaning,0.009631335927109996,1.2358407869079517,0.6476680924386056,0.0003023399016580657
17,Bengalese_Finches,180,not-cleaned,-4.3653257036519175,1.9631329604311765,3.569388204466033e-08,3.493803216143209e-05
18,Bengalese_Finches,45,manually-cleaned,3.1648309745320473,1.2805708325551892,3.569388204466033e-08,0.00020627441664542776
19,Bengalese_Finches,45,semi-automated-cleaning,1.7277996110482507,1.7048177536262992,3.3082811194993775e-06,0.4553425315042584
20,Bengalese_Finches,45,not-cleaned,-2.624088796811536,2.009206838712146,5.2177632850509714e-08,0.009194520574269885
21,Canaries,600,manually-cleaned,1.1724971824435333,1.6511684160386906,0.005541801452636719,0.3679868471386992
22,Canaries,600,semi-automated-cleaning,-26.29676266367003,19.87616430738361,9.5367431640625e-07,5.4023399141630433e-05
23,Canaries,600,not-cleaned,-41.30812584123224,36.52129037714345,9.5367431640625e-07,0.0005964852696490625
24,Canaries,420,manually-cleaned,1.8105752834720956,2.0469946005523667,0.0011758804321289062,0.4060504807865931
25,Canaries,420,semi-automated-cleaning,-25.82213316119922,19.538560477880637,9.5367431640625e-07,0.00011770995565288702
26,Canaries,420,not-cleaned,-40.76070680733968,36.08532604441373,9.5367431640625e-07,0.000834882335422015
27,Canaries,240,manually-cleaned,1.8903151227215835,4.181956419634732,0.035056114196777344,0.7364747763947043
28,Canaries,240,semi-automated-cleaning,-25.914449974674042,19.33840726775887,9.5367431640625e-07,0.0001709305098112756
29,Canaries,240,not-cleaned,-40.9783756110966,35.81425091890991,9.5367431640625e-07,0.0008589021546733268
30,Canaries,190,manually-cleaned,3.6575953337634237,4.880005752617232,0.090576171875,0.014514119549411337
31,Canaries,190,semi-automated-cleaning,-27.945499938764993,22.08483148292207,0.0001220703125,2.2515386808740664e-19
32,Canaries,190,not-cleaned,-49.669109043704225,39.8722669936726,0.0001220703125,1.6951962040996342e-25
33,Canaries,540,manually-cleaned,1.4605353015778988,1.798783229198056,0.0018587112426757812,0.35063799520635053
34,Canaries,540,semi-automated-cleaning,-26.356322489548738,20.170205443395478,9.5367431640625e-07,9.129157129381273e-05
35,Canaries,540,not-cleaned,-41.39230365547358,36.8725642534131,9.5367431640625e-07,0.0007505250596270918
36,Canaries,360,manually-cleaned,1.4032704431557879,2.192645640281122,0.009016036987304688,0.45885892193267674
37,Canaries,360,semi-automated-cleaning,-26.740545945463552,20.23959862007698,9.5367431640625e-07,7.405802793987546e-05
38,Canaries,360,not-cleaned,-41.75224182722853,36.828794046734295,9.5367431640625e-07,0.0006661328167999113
39,Canaries,480,manually-cleaned,0.999988941460383,2.096252060914398,0.04599285125732422,0.5869481616248278
40,Canaries,480,semi-automated-cleaning,-26.962290385095745,20.063512642673793,9.5367431640625e-07,0.00013679148703118354
41,Canaries,480,not-cleaned,-42.030190454524146,36.854803574333154,9.5367431640625e-07,0.0009075666702187601
42,Canaries,300,manually-cleaned,1.1848427252389693,2.706242509435636,0.08879852294921875,0.9911994442275261
43,Canaries,300,semi-automated-cleaning,-26.645621396092935,19.724508467176634,9.5367431640625e-07,0.00011024496953027881
44,Canaries,300,not-cleaned,-41.83607478283294,36.43240186321085,9.5367431640625e-07,0.0007938153422296561
45,Canaries,660,manually-cleaned,1.034106566013715,1.8306590175927309,0.02385425567626953,0.695475626091878
46,Canaries,660,semi-automated-cleaning,-26.923800140475382,20.625208542909327,9.5367431640625e-07,9.346534636113637e-05
