cleanup,avg_acc,avg_levenshtein,avg_pct_boundary_err,avg_segment_error_rate,train_set_dur,replicate_num,model_name,avg_error,animal_id,train_set_dur_ind
majority_vote,0.9604987289260802,23.927350427350426,0.5418950581146135,0.08056869280949996,190,1,TweetyNet,3.9501271073919764,llb16,0
min_segment_dur,0.9603321229739716,40.01282051282051,0.5377369186758223,0.13742903011615815,190,1,TweetyNet,3.9667877026028364,llb16,0
min_segment_dur_majority_vote,0.9605344097390301,23.602564102564102,0.542736597579653,0.07875742542091327,190,1,TweetyNet,3.946559026096985,llb16,0
none,0.9602964421610215,40.58119658119658,0.5368858458718866,0.14003695913163425,190,1,TweetyNet,3.97035578389785,llb16,0
majority_vote,0.9580154139339551,25.303418803418804,0.5036617056830878,0.08397306790166532,190,2,TweetyNet,4.198458606604493,llb16,0
min_segment_dur,0.957497028339113,41.31196581196581,0.49215388484911543,0.14224242517292668,190,2,TweetyNet,4.250297166088702,llb16,0
min_segment_dur_majority_vote,0.9580320320846326,25.05982905982906,0.5040746364912668,0.08276589063469895,190,2,TweetyNet,4.196796791536739,llb16,0
none,0.957480410188436,41.717948717948715,0.4917607304410283,0.14388212189918653,190,2,TweetyNet,4.251958981156401,llb16,0
majority_vote,0.9573604475324058,20.95299145299145,0.515868362234855,0.0690345244321153,190,3,TweetyNet,4.263955246759421,llb16,0
min_segment_dur,0.9571776779210176,34.71367521367522,0.5032097785710712,0.1177505490421988,190,3,TweetyNet,4.2822322078982396,llb16,0
min_segment_dur_majority_vote,0.9573670954029193,20.995726495726494,0.5163302622018572,0.06888446152387882,190,3,TweetyNet,4.2632904597080685,llb16,0
none,0.957171030050504,35.0,0.5027607403177946,0.11883797770629928,190,3,TweetyNet,4.282896994949603,llb16,0
majority_vote,0.9537649854188939,28.44017094017094,0.48251287642914015,0.09654510787336931,190,4,TweetyNet,4.623501458110613,llb16,0
min_segment_dur,0.9533257137307164,47.98290598290598,0.4758442719744115,0.15900299348938748,190,4,TweetyNet,4.667428626928361,llb16,0
min_segment_dur_majority_vote,0.9537846752058334,28.03846153846154,0.4833522250097483,0.09483362077004354,190,4,TweetyNet,4.621532479416657,llb16,0
none,0.9533060239437767,48.65384615384615,0.4749763673526315,0.16169047799551903,190,4,TweetyNet,4.669397605622327,llb16,0
majority_vote,0.9567041206967228,26.914529914529915,0.5308026006153566,0.08806207434052588,190,5,TweetyNet,4.329587930327716,llb16,0
min_segment_dur,0.9564828814804527,44.623931623931625,0.5218123330749616,0.14194727267261545,190,5,TweetyNet,4.3517118519547315,llb16,0
min_segment_dur_majority_vote,0.9567281798260777,26.534188034188034,0.5320155682490303,0.08598911585020448,190,5,TweetyNet,4.327182017392229,llb16,0
none,0.956458822351098,45.3034188034188,0.5207002001495755,0.14496138973739023,190,5,TweetyNet,4.354117764890198,llb16,0
majority_vote,0.9613339223429243,22.931623931623932,0.5048717591547114,0.07746998214651643,190,6,TweetyNet,3.866607765707575,llb16,0
min_segment_dur,0.9613987032007939,36.47008547008547,0.4997175741859559,0.1270232125562726,190,6,TweetyNet,3.8601296799206097,llb16,0
min_segment_dur_majority_vote,0.961363725433042,22.478632478632477,0.5055580998892572,0.07520981716832013,190,6,TweetyNet,3.863627456695795,llb16,0
none,0.9613689001106767,37.085470085470085,0.4990270224711699,0.1298003603978262,190,6,TweetyNet,3.863109988932334,llb16,0
majority_vote,0.9631388384939908,22.32051282051282,0.535433028578641,0.07979558443771767,190,7,TweetyNet,3.6861161506009155,llb16,0
min_segment_dur,0.962864800075647,37.243589743589745,0.5283549345966566,0.13541381322698734,190,7,TweetyNet,3.713519992435299,llb16,0
min_segment_dur_majority_vote,0.9631535594471111,22.081196581196583,0.5359362934671675,0.07867087234160697,190,7,TweetyNet,3.684644055288888,llb16,0
none,0.9628500791225266,37.611111111111114,0.527868487338825,0.1369080154932957,190,7,TweetyNet,3.7149920877473375,llb16,0
majority_vote,0.9515095512617812,28.683760683760685,0.5266026023524026,0.09449718377785345,240,1,TweetyNet,4.849044873821883,llb16,1
min_segment_dur,0.9515960702392312,49.243589743589745,0.5229751160024181,0.16272053545572254,240,1,TweetyNet,4.840392976076879,llb16,1
min_segment_dur_majority_vote,0.9515702392423472,27.89316239316239,0.5278739782411983,0.09122236460701975,240,1,TweetyNet,4.842976075765282,llb16,1
none,0.951535382258665,50.47435897435897,0.5217495200940138,0.16702674215912902,240,1,TweetyNet,4.846461774133504,llb16,1
majority_vote,0.9628593731860448,20.76068376068376,0.5433831347441371,0.06711508251377805,240,2,TweetyNet,3.7140626813955246,llb16,1
min_segment_dur,0.9623618301444801,33.282051282051285,0.5372202953301911,0.11091122661899792,240,2,TweetyNet,3.763816985551993,llb16,1
min_segment_dur_majority_vote,0.9628600580739374,20.636752136752136,0.5437949737363801,0.06645696901745748,240,2,TweetyNet,3.7139941926062625,llb16,1
none,0.9623611452565879,33.53846153846154,0.5368043232192792,0.11193340078775893,240,2,TweetyNet,3.763885474341211,llb16,1
majority_vote,0.9597555133605868,23.145299145299145,0.5403451847407021,0.07624187031712036,240,3,TweetyNet,4.024448663941316,llb16,1
min_segment_dur,0.9595435149216334,35.84188034188034,0.5338047137467028,0.12163059319307962,240,3,TweetyNet,4.045648507836663,llb16,1
min_segment_dur_majority_vote,0.9597761167469412,22.918803418803417,0.5409806577009281,0.07503201286838355,240,3,TweetyNet,4.022388325305881,llb16,1
none,0.9595229115352784,36.24786324786325,0.5331721630111236,0.12345208288526587,240,3,TweetyNet,4.0477088464721644,llb16,1
majority_vote,0.963727501849916,19.756410256410255,0.5212456651029338,0.06886663340196779,240,4,TweetyNet,3.6272498150084043,llb16,1
min_segment_dur,0.9625567340307388,35.47008547008547,0.5040224312613437,0.12872984054178757,240,4,TweetyNet,3.7443265969261175,llb16,1
min_segment_dur_majority_vote,0.9637682990339514,19.235042735042736,0.522080125410438,0.06630714085124016,240,4,TweetyNet,3.6231700966048552,llb16,1
none,0.9625159368467042,36.123931623931625,0.5032424053052728,0.1318027129811948,240,4,TweetyNet,3.7484063153295777,llb16,1
majority_vote,0.9650205754321411,21.521367521367523,0.5077678162334045,0.08122281355118607,240,5,TweetyNet,3.4979424567858852,llb16,1
min_segment_dur,0.9648941317046362,30.76923076923077,0.5022929561039778,0.11518654797084547,240,5,TweetyNet,3.5105868295363774,llb16,1
min_segment_dur_majority_vote,0.9651163509210108,20.542735042735043,0.5094041084880121,0.07621609534149228,240,5,TweetyNet,3.488364907898922,llb16,1
none,0.9647983562157663,31.974358974358974,0.5007205331946298,0.12097931771065858,240,5,TweetyNet,3.520164378423374,llb16,1
majority_vote,0.9667510289934093,17.44871794871795,0.5504289260562318,0.05938251969788142,240,6,TweetyNet,3.3248971006590744,llb16,1
min_segment_dur,0.9661938579457214,31.136752136752136,0.5457236506257783,0.10845742046161591,240,6,TweetyNet,3.3806142054278565,llb16,1
min_segment_dur_majority_vote,0.9667739420061379,17.153846153846153,0.5512176413358154,0.05775016567402786,240,6,TweetyNet,3.3226057993862135,llb16,1
none,0.9661709449329932,31.61965811965812,0.5449267697032747,0.1106094929026832,240,6,TweetyNet,3.382905506700684,llb16,1
majority_vote,0.9652174328204545,20.38888888888889,0.5400535712837448,0.07070331859154082,240,7,TweetyNet,3.478256717954553,llb16,1
