,120s,180s,30s,45s,480s,600s,75s
0,0.006337415848328076,0.006614674122528944,0.019304335543973313,0.01616194491409293,0.006366205288619964,0.002338891353714717,0.01709995236572113
1,,,,,,,
2,0.0,0.004216370213557834,0.003513641844631538,0.002108185106778922,0.0,0.0,0.004661372658534005
3,0.0198377049579382,0.018381009391713957,0.02048188112449345,0.027426849026147664,0.007308142395811494,0.011045558261060181,0.035574563594650124
4,0.06511528238439881,0.10108302418199495,0.024585451886114367,0.09131143289740766,0.11805836597961948,0.0812472221747372,0.11811482172492624
5,0.016243947790218278,0.029702869548728302,0.03405256606565085,0.04173710818525995,0.02111405046197075,0.0327303009492289,0.01450556409247902
6,0.008193594219016179,0.007341999637543301,0.02472066162365221,0.01797131936055972,0.0059282904870774904,0.005240102831619853,0.009156831688681366
7,0.004601340813079004,0.004033880185269819,0.00864850262375725,0.011681801960374952,0.003344716755947325,0.003648781915578898,0.003055817035013592
8,0.024231953899202064,0.04120073686458083,0.029337215624974645,0.04160317867333415,0.006087554235955241,0.0026798963221765855,0.02274599004660447
9,0.002535360346262218,0.0054553390762181455,0.013905172554921434,0.01724459047319692,0.007042030319720403,0.009425285688578498,0.004993551264740467
10,0.031155170214871297,0.02591042226090682,0.028704091239890556,0.026510262356801425,0.010033271895214517,0.021227671636266442,0.026771597031122103
11,0.006939348380073094,0.004735744034702426,0.015897609606477497,0.021678517840474025,0.0017323344157775848,0.003703062869075891,0.015286294854283003
12,0.022287491315802224,0.023470892153377578,0.06503734747711003,0.06905181490906687,0.015942023787564864,0.011046165703518265,0.03616094275243462
13,0.08847378931174453,0.0761375864287957,0.07870853111771649,0.10863385673141618,0.012820044568250186,0.048317189146133074,0.13412868454410132
14,0.0031449516680356285,0.004557540577713577,0.003422500391962718,0.0067414555555050494,0.0027624253064834486,,0.0035789897715362297
15,0.0017866713870670662,0.00234537328706947,0.007822664435238649,0.00650009962580267,0.0022834042623162496,,0.003701505040347042
