,120s,180s,30s,45s,480s,600s,75s
0,0.0020442101742344223,0.005906979240364555,0.008646926476827715,0.004743600517178288,0.0012921134525419194,0.0,0.016581006369578506
1,,,,,,,
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.023252041618885142,0.018601633295108114,0.02278225497769069,0.02278225497769069,0.021310848156160942,0.021310848156160942,0.018601633295108118
4,0.0,0.1264911064067352,0.09486832980505139,0.09486832980505137,0.12649110640673517,0.15811388300841897,0.09486832980505139
5,0.04604736536172346,0.05064006423979091,0.04019343568064482,0.06491392609202806,0.04019343568064482,0.04604736536172346,0.04604736536172346
6,0.005174636171184622,0.0,0.011626653145289987,0.016741155854874786,0.006806555744422314,0.004455936702964537,0.00682474431654593
7,0.0,0.0,0.033751232719104816,0.0,0.0,0.0,0.0
8,0.045022258212566744,0.0,0.04502225821256676,0.049846071592484616,0.0,0.0,0.0
9,0.0,0.0,0.012340595746998554,0.019301453404078555,0.013883170215373374,0.0,0.012340595746998554
10,0.030025593234554494,0.023117589330420314,0.04259557744270097,0.048599473081338884,0.0,0.017520727576608584,0.02145842124250055
11,0.0,0.0,0.009610843869139189,0.0,0.0,0.0,0.0
12,0.02733102974009641,0.011727503329958325,0.08606156050179,0.06135846382994106,0.012127863307757872,0.008550581076609567,0.03815094131076137
13,0.0,0.0,0.1264911064067352,0.1264911064067352,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,,0.0
15,0.0022676191334770474,0.0019254555953747343,0.0042738097033615035,0.0028441192041656176,0.0011552733572248407,,0.0031421607654722656
