,120s,180s,30s,45s,480s,600s,75s
0,0.04864516129032259,0.057397849462365605,0.08750537634408603,0.07234408602150535,0.03006451612903226,0.02832258064516129,0.09365591397849463
1,,,,,,,
2,0.0022222222222222253,0.0,0.006666666666666677,0.006666666666666677,0.0,0.0,0.0044444444444444505
3,0.08169934640522876,0.055555555555555546,0.08627450980392157,0.0823529411764706,0.05653594771241831,0.05555555555555554,0.0803921568627451
4,0.9400000000000001,0.8333333333333334,0.8533333333333333,0.8933333333333333,0.67,0.5633333333333334,0.9199999999999999
5,0.24485981308411214,0.28411214953271036,0.3074766355140187,0.3018691588785047,0.26074766355140194,0.22149532710280379,0.2588785046728973
6,0.03500000000000001,0.026666666666666682,0.07803030303030303,0.07803030303030303,0.04606060606060606,0.0356060606060606,0.04712121212121212
7,0.027884615384615397,0.03269230769230771,0.09999999999999999,0.05192307692307694,0.015384615384615385,0.013461538461538447,0.03173076923076924
8,0.06101694915254237,0.008474576271186429,0.05423728813559321,0.07288135593220336,0.003389830508474567,0.003389830508474567,0.0254237288135593
9,0.033739837398373974,0.03008130081300815,0.05691056910569105,0.06829268292682926,0.05,0.023170731707317094,0.052032520325203245
10,0.11959459459459461,0.10608108108108105,0.22162162162162163,0.19864864864864865,0.05067567567567567,0.058445945945945946,0.10878378378378377
11,0.02679738562091505,0.02614379084967321,0.0673202614379085,0.04607843137254902,0.018627450980392167,0.01862745098039218,0.03366013071895424
12,0.18841463414634146,0.19762872628726286,0.4035230352303524,0.3382791327913279,0.12025745257452573,0.12262872628726287,0.3191734417344173
13,0.029729729729729693,0.021621621621621588,0.27567567567567564,0.28378378378378377,0.008108108108108091,0.018918918918918903,0.05675675675675673
14,0.03728991596638655,0.039075630252100826,0.04464285714285714,0.04485294117647058,0.031092436974789917,,0.039600840336134445
15,0.030229226361031526,0.024426934097421193,0.05279369627507163,0.043911174785100295,0.01790830945558739,,0.033954154727793694
