cleanup,avg_acc,avg_levenshtein,avg_pct_boundary_err,avg_segment_error_rate,train_set_dur,replicate_num,model_name,avg_error,animal_id,train_set_dur_ind
majority_vote,0.9604277618863987,22.9017094017094,0.5509875750091477,0.07992192122238716,190,1,TweetyNet,3.9572238113601332,llb16,2
min_segment_dur,0.959997017610919,40.52991452991453,0.5441922306128936,0.14489035689601446,190,1,TweetyNet,4.000298238908096,llb16,2
min_segment_dur_majority_vote,0.9604942228134594,22.303418803418804,0.55198997015429,0.07687737718013456,190,1,TweetyNet,3.950577718654058,llb16,2
none,0.9599305566838586,41.51709401709402,0.5431976364666662,0.1490805304528321,190,1,TweetyNet,4.006944331614138,llb16,2
majority_vote,0.9571309920757639,27.572649572649574,0.5054249017068718,0.09261917569707973,190,2,TweetyNet,4.286900792423609,llb16,2
min_segment_dur,0.9562276802592476,52.572649572649574,0.4868747110658234,0.1798123114119619,190,2,TweetyNet,4.377231974075235,llb16,2
min_segment_dur_majority_vote,0.95714234106505,27.384615384615383,0.5060108095888366,0.09131918833863702,190,2,TweetyNet,4.285765893494997,llb16,2
none,0.9562163312699614,53.06837606837607,0.4863353364748121,0.18207986698276815,190,2,TweetyNet,4.378366873003858,llb16,2
majority_vote,0.9587653113705562,21.846153846153847,0.48929052903138504,0.07342374722014268,190,3,TweetyNet,4.12346886294438,llb16,2
min_segment_dur,0.9584500025691239,40.888888888888886,0.4827327319321126,0.1384579633280574,190,3,TweetyNet,4.154999743087606,llb16,2
min_segment_dur_majority_vote,0.958865862744279,20.931623931623932,0.4904804326642718,0.06911430132477152,190,3,TweetyNet,4.1134137255721015,llb16,2
none,0.9583494511954009,42.15384615384615,0.4816363841923462,0.14379437954930688,190,3,TweetyNet,4.165054880459906,llb16,2
majority_vote,0.9572993756358206,25.307692307692307,0.489709763076684,0.08629624900803604,190,4,TweetyNet,4.270062436417943,llb16,2
min_segment_dur,0.9560922584104968,49.662393162393165,0.4768893525483286,0.16551792130024948,190,4,TweetyNet,4.390774158950316,llb16,2
min_segment_dur_majority_vote,0.9573251630831391,24.799145299145298,0.49075595143417694,0.08435829918161561,190,4,TweetyNet,4.267483691686092,llb16,2
none,0.9560664709631781,50.74786324786325,0.47586108702661495,0.16965664529453467,190,4,TweetyNet,4.393352903682191,llb16,2
majority_vote,0.9553333753024041,29.358974358974358,0.49592779099434686,0.09377998918655626,190,5,TweetyNet,4.466662469759585,llb16,2
min_segment_dur,0.9544487412860729,52.58974358974359,0.48434350797093945,0.16931466628217262,190,5,TweetyNet,4.555125871392707,llb16,2
min_segment_dur_majority_vote,0.9553603545690155,29.02991452991453,0.4971810146825217,0.09147573317305771,190,5,TweetyNet,4.463964543098453,llb16,2
none,0.9544217620194618,53.35042735042735,0.4831694518476907,0.17288816350953917,190,5,TweetyNet,4.557823798053818,llb16,2
majority_vote,0.9611884277492563,24.021367521367523,0.5005767193254311,0.080533117296989,190,6,TweetyNet,3.881157225074372,llb16,2
min_segment_dur,0.9607989237816976,41.03846153846154,0.48930217724539005,0.14115536874750595,190,6,TweetyNet,3.9201076218302378,llb16,2
min_segment_dur_majority_vote,0.9612241774430822,23.534188034188034,0.5016342677028731,0.07808808763373344,190,6,TweetyNet,3.8775822556917805,llb16,2
none,0.9607631740878709,41.863247863247864,0.48827994742941466,0.14470528862000953,190,6,TweetyNet,3.923682591212907,llb16,2
majority_vote,0.960606355604256,22.85042735042735,0.5155306990066763,0.08165238254390914,190,7,TweetyNet,3.9393644395744,llb16,2
min_segment_dur,0.9592813875581329,40.67094017094017,0.4942941938053221,0.1456470523387177,190,7,TweetyNet,4.071861244186714,llb16,2
min_segment_dur_majority_vote,0.9606557215556157,22.28205128205128,0.5162899273960654,0.07931735791090638,190,7,TweetyNet,3.934427844438426,llb16,2
none,0.9592320216067735,41.51282051282051,0.49361828399850444,0.14889869993498603,190,7,TweetyNet,4.076797839322655,llb16,2
majority_vote,0.9516652077322875,27.70940170940171,0.5122329202461964,0.08959898908779454,240,1,TweetyNet,4.833479226771253,llb16,3
min_segment_dur,0.9513813247836084,54.55555555555556,0.503003569561464,0.1747321764998189,240,1,TweetyNet,4.861867521639162,llb16,3
min_segment_dur_majority_vote,0.9516938418498623,27.346153846153847,0.5128568531968661,0.08799428770220781,240,1,TweetyNet,4.830615815013772,llb16,3
none,0.9513526906660335,55.111111111111114,0.5024137985595486,0.1768485847863099,240,1,TweetyNet,4.864730933396655,llb16,3
majority_vote,0.9643678048552965,20.034188034188034,0.534519911309617,0.0668657489532117,240,2,TweetyNet,3.5632195144703505,llb16,3
min_segment_dur,0.9635752291315796,35.34188034188034,0.5253127210873476,0.12287055177654412,240,2,TweetyNet,3.642477086842044,llb16,3
min_segment_dur_majority_vote,0.9644059702457636,19.602564102564102,0.5355192052102639,0.06477740199317791,240,2,TweetyNet,3.5594029754236423,llb16,3
none,0.9635370637411128,36.05982905982906,0.5244081827297984,0.1257804924056011,240,2,TweetyNet,3.646293625888719,llb16,3
majority_vote,0.9600862570067339,23.914529914529915,0.5382581658073844,0.0773420821026443,240,3,TweetyNet,3.991374299326611,llb16,3
min_segment_dur,0.9594300371924402,46.282051282051285,0.5254377135516461,0.15479598798996322,240,3,TweetyNet,4.056996280755976,llb16,3
min_segment_dur_majority_vote,0.9600981006845299,23.594017094017094,0.5385720230458038,0.07616398252303551,240,3,TweetyNet,3.9901899315470057,llb16,3
none,0.9594181935146444,46.76495726495727,0.5251302680905993,0.15649692784949654,240,3,TweetyNet,4.058180648535559,llb16,3
majority_vote,0.9599467867760981,19.944444444444443,0.48274200843270504,0.0698588944505251,240,4,TweetyNet,4.005321322390188,llb16,3
