Unnamed: 0,animal_id,train_set_dur,replicate_num,segmentation,avg_segment_error_rate
114,llb11,360,4,not-cleaned,1.013815336417371
115,llb11,360,4,semi-automated-cleaning,0.6258586257658283
116,llb11,360,4,manually-cleaned,0.0551233035474707
117,llb11,360,5,not-cleaned,1.0099432919418958
118,llb11,360,5,semi-automated-cleaning,0.618883479096385
119,llb11,360,5,manually-cleaned,0.0417240692397041
120,llb11,360,6,not-cleaned,1.0333508598073315
121,llb11,360,6,semi-automated-cleaning,0.6349869529365378
122,llb11,360,6,manually-cleaned,0.0511389273108502
123,llb11,360,7,not-cleaned,0.99359664396999
124,llb11,360,7,semi-automated-cleaning,0.6061270723602313
125,llb11,360,7,manually-cleaned,0.0393765588499171
126,llb11,480,1,not-cleaned,0.9976705425914624
127,llb11,480,1,semi-automated-cleaning,0.6047006826870714
128,llb11,480,1,manually-cleaned,0.0371442375565892
129,llb11,480,2,not-cleaned,1.0025003803638644
130,llb11,480,2,semi-automated-cleaning,0.6112258915366875
131,llb11,480,2,manually-cleaned,0.0446653677548625
132,llb11,480,3,not-cleaned,1.0317022330254435
133,llb11,480,3,semi-automated-cleaning,0.6391234202920685
134,llb11,480,3,manually-cleaned,0.0446911172547366
135,llb11,480,4,not-cleaned,1.0326971659793631
136,llb11,480,4,semi-automated-cleaning,0.6243130667319585
137,llb11,480,4,manually-cleaned,0.0367538451559333
138,llb11,480,5,not-cleaned,1.0106742088561829
139,llb11,480,5,semi-automated-cleaning,0.616195805369431
140,llb11,480,5,manually-cleaned,0.0409092407763222
141,llb11,480,6,not-cleaned,1.0108880440758403
142,llb11,480,6,semi-automated-cleaning,0.6130820217470369
143,llb11,480,6,manually-cleaned,0.035791280842634
144,llb11,480,7,not-cleaned,0.9688088273616065
145,llb11,480,7,semi-automated-cleaning,0.5791993547288629
146,llb11,480,7,manually-cleaned,0.0417590476022007
147,llb11,300,1,not-cleaned,1.0169301125430594
148,llb11,300,1,semi-automated-cleaning,0.6312909479002525
149,llb11,300,1,manually-cleaned,0.0729106316721915
150,llb11,300,2,not-cleaned,1.0023664250452635
151,llb11,300,2,semi-automated-cleaning,0.610917911732592
152,llb11,300,2,manually-cleaned,0.0751968056186268
153,llb11,300,3,not-cleaned,1.0020545891193515
154,llb11,300,3,semi-automated-cleaning,0.6168938275977421
155,llb11,300,3,manually-cleaned,0.0775885582987889
156,llb11,300,4,not-cleaned,1.009073873926174
157,llb11,300,4,semi-automated-cleaning,0.6187501536320413
158,llb11,300,4,manually-cleaned,0.054093198421209
159,llb11,300,5,not-cleaned,1.0103595497351685
160,llb11,300,5,semi-automated-cleaning,0.6139347861302912
161,llb11,300,5,manually-cleaned,0.038697081153886
162,llb11,300,6,not-cleaned,1.039260309182344
163,llb11,300,6,semi-automated-cleaning,0.6322561368361815
164,llb11,300,6,manually-cleaned,0.0493852102027633
165,llb11,300,7,not-cleaned,1.0430153094400618
166,llb11,300,7,semi-automated-cleaning,0.6412166935662891
167,llb11,300,7,manually-cleaned,0.0423145730310064
168,llb11,660,1,not-cleaned,1.022093019095475
169,llb11,660,1,semi-automated-cleaning,0.6278316582236428
170,llb11,660,1,manually-cleaned,0.0372741918304459
171,llb11,660,2,not-cleaned,1.0123669053568725
172,llb11,660,2,semi-automated-cleaning,0.6168272403459021
173,llb11,660,2,manually-cleaned,0.0368083948873676
174,llb11,660,3,not-cleaned,1.0120800508495218
175,llb11,660,3,semi-automated-cleaning,0.6173280816550426
176,llb11,660,3,manually-cleaned,0.0362061544211006
177,llb11,660,4,not-cleaned,0.9840707242584156
178,llb11,660,4,semi-automated-cleaning,0.5928042115044516
179,llb11,660,4,manually-cleaned,0.0326012074063668
180,llb11,660,5,not-cleaned,1.0151040229296286
181,llb11,660,5,semi-automated-cleaning,0.6252875597620301
182,llb11,660,5,manually-cleaned,0.0366946013683267
183,llb11,660,6,not-cleaned,0.9629660867198148
184,llb11,660,6,semi-automated-cleaning,0.5779986884204004
185,llb11,660,6,manually-cleaned,0.0394346108057072
186,llb11,660,7,not-cleaned,1.0354238746178046
187,llb11,660,7,semi-automated-cleaning,0.6322397731753676
188,llb11,660,7,manually-cleaned,0.0373133106819321
0,llb16,600,1,not-cleaned,0.1496325816576897
1,llb16,600,1,semi-automated-cleaning,0.116310894902137
2,llb16,600,1,manually-cleaned,0.0579872664430956
3,llb16,600,2,not-cleaned,0.1642987614037424
4,llb16,600,2,semi-automated-cleaning,0.1282376661108596
5,llb16,600,2,manually-cleaned,0.0671494208593346
6,llb16,600,3,not-cleaned,0.1537751880581758
7,llb16,600,3,semi-automated-cleaning,0.1199743038455598
8,llb16,600,3,manually-cleaned,0.0654361015401529
9,llb16,600,4,not-cleaned,0.1478589340136396
10,llb16,600,4,semi-automated-cleaning,0.1153608171713568
11,llb16,600,4,manually-cleaned,0.0600909419826094
12,llb16,600,5,not-cleaned,0.1507128643975935
13,llb16,600,5,semi-automated-cleaning,0.1163523637894581
14,llb16,600,5,manually-cleaned,0.0552370503183943
15,llb16,600,6,not-cleaned,0.155911522268116
16,llb16,600,6,semi-automated-cleaning,0.1210745881936771
17,llb16,600,6,manually-cleaned,0.0592480856046275
18,llb16,600,7,not-cleaned,0.1554975066831275
19,llb16,600,7,semi-automated-cleaning,0.1195191592401197
20,llb16,600,7,manually-cleaned,0.0591584599134887
21,llb16,420,1,not-cleaned,0.1580305188917059
22,llb16,420,1,semi-automated-cleaning,0.1237308454850355
23,llb16,420,1,manually-cleaned,0.0659802487395708
24,llb16,420,2,not-cleaned,0.1624938872605513
25,llb16,420,2,semi-automated-cleaning,0.1273972423969863
26,llb16,420,2,manually-cleaned,0.0643239392922289
27,llb16,420,3,not-cleaned,0.1548970578426659
28,llb16,420,3,semi-automated-cleaning,0.119788057433694
29,llb16,420,3,manually-cleaned,0.0592654480896483
30,llb16,420,4,not-cleaned,0.1571695752088244
31,llb16,420,4,semi-automated-cleaning,0.1224800986938485
32,llb16,420,4,manually-cleaned,0.0610453438400068
33,llb16,420,5,not-cleaned,0.1738100085439469
34,llb16,420,5,semi-automated-cleaning,0.1407959378414415
35,llb16,420,5,manually-cleaned,0.0839212676981396
36,llb16,420,6,not-cleaned,0.1622135715895326
37,llb16,420,6,semi-automated-cleaning,0.1295126311515676
38,llb16,420,6,manually-cleaned,0.0653975808497004
39,llb16,420,7,not-cleaned,0.1632683840985658
40,llb16,420,7,semi-automated-cleaning,0.1283572233023599
41,llb16,420,7,manually-cleaned,0.0675915270595009
42,llb16,240,1,not-cleaned,0.1847747477590558
43,llb16,240,1,semi-automated-cleaning,0.1515272007745897
44,llb16,240,1,manually-cleaned,0.0951464618758425
45,llb16,240,2,not-cleaned,0.1686286076131287
46,llb16,240,2,semi-automated-cleaning,0.1341454670476777
47,llb16,240,2,manually-cleaned,0.0854058389638672
48,llb16,240,3,not-cleaned,0.1886885714304656
49,llb16,240,3,semi-automated-cleaning,0.1537546488002296
50,llb16,240,3,manually-cleaned,0.0955238482812259
51,llb16,240,4,not-cleaned,0.1611707343784716
52,llb16,240,4,semi-automated-cleaning,0.1283806662840172
53,llb16,240,4,manually-cleaned,0.0718628726880771
54,llb16,240,5,not-cleaned,0.1678833335933807
55,llb16,240,5,semi-automated-cleaning,0.129629558148562
56,llb16,240,5,manually-cleaned,0.0706482373061732
57,llb16,240,6,not-cleaned,0.168036524945056
58,llb16,240,6,semi-automated-cleaning,0.1326341781753478
59,llb16,240,6,manually-cleaned,0.0754025892694393
60,llb16,240,7,not-cleaned,0.1641860663743211
61,llb16,240,7,semi-automated-cleaning,0.1328524169742061
62,llb16,240,7,manually-cleaned,0.0758952389187462
63,llb16,190,1,not-cleaned,0.1824146339088487
64,llb16,190,1,semi-automated-cleaning,0.1461233554671504
65,llb16,190,1,manually-cleaned,0.0949052038048877
66,llb16,190,2,not-cleaned,0.1781068802524998
67,llb16,190,2,semi-automated-cleaning,0.1405147764827171
68,llb16,190,2,manually-cleaned,0.0879311035475308
69,llb16,190,3,not-cleaned,0.1686134736323585
70,llb16,190,3,semi-automated-cleaning,0.1322277596660878
71,llb16,190,3,manually-cleaned,0.0762190670628206
72,llb16,190,4,not-cleaned,0.1776855417886756
73,llb16,190,4,semi-automated-cleaning,0.1415880190800753
74,llb16,190,4,manually-cleaned,0.0914621467789033
