cleanup,avg_acc,avg_levenshtein,avg_pct_boundary_err,avg_segment_error_rate,train_set_dur,replicate_num,model_name,avg_error,animal_id,train_set_dur_ind,hyperparam_expt,hyperparam_val,species
majority_vote,0.9766745315081908,2.8536585365853657,0.6463946698036399,6.138537347006389,75,10,TweetyNet,2.3325468491809165,Bird0,2,hidden_size,16,Bengalese Finch
min_segment_dur,0.972396092713327,16.5609756097561,0.5386796039711744,29.265199253738512,75,10,TweetyNet,2.760390728667294,Bird0,2,hidden_size,16,Bengalese Finch
min_segment_dur_majority_vote,0.9772467611899852,1.3658536585365857,0.6682901979106914,2.54494668945753,75,10,TweetyNet,2.2753238810014897,Bird0,2,hidden_size,16,Bengalese Finch
none,0.9718138752166672,18.26829268292683,0.5223888147910996,33.20498089338784,75,10,TweetyNet,2.8186124783332933,Bird0,2,hidden_size,16,Bengalese Finch
majority_vote,0.979289376094261,1.8780487804878048,0.7070480946899642,3.7694157231047596,120,1,TweetyNet,2.0710623905738967,Bird0,3,hidden_size,16,Bengalese Finch
min_segment_dur,0.975677313691762,14.073170731707316,0.5884806809733696,26.50684264309341,120,1,TweetyNet,2.4322686308238084,Bird0,3,hidden_size,16,Bengalese Finch
min_segment_dur_majority_vote,0.979808883413162,1.0,0.7354547743058742,1.85524437779844,120,1,TweetyNet,2.019111658683792,Bird0,3,hidden_size,16,Bengalese Finch
none,0.9751675488309802,15.317073170731708,0.5703565409311498,29.31317239867928,120,1,TweetyNet,2.4832451169019776,Bird0,3,hidden_size,16,Bengalese Finch
majority_vote,0.977250085069925,2.1219512195121952,0.6465653187672634,4.17581186780151,120,2,TweetyNet,2.274991493007505,Bird0,3,hidden_size,16,Bengalese Finch
min_segment_dur,0.9744023259254574,12.48780487804878,0.5646534892351427,21.825663893720527,120,2,TweetyNet,2.559767407454261,Bird0,3,hidden_size,16,Bengalese Finch
min_segment_dur_majority_vote,0.9775933531679594,1.2926829268292683,0.6586622268562027,2.46172033146398,120,2,TweetyNet,2.2406646832040638,Bird0,3,hidden_size,16,Bengalese Finch
none,0.9740519800633096,13.707317073170731,0.5554656473537603,24.37661268382671,120,2,TweetyNet,2.594801993669038,Bird0,3,hidden_size,16,Bengalese Finch
majority_vote,0.978667859373208,3.097560975609756,0.675810877412912,6.54260697043168,120,3,TweetyNet,2.1332140626792007,Bird0,3,hidden_size,16,Bengalese Finch
min_segment_dur,0.9749172269541264,12.170731707317072,0.5658215266565249,22.00046335518115,120,3,TweetyNet,2.5082773045873585,Bird0,3,hidden_size,16,Bengalese Finch
min_segment_dur_majority_vote,0.9790864380369412,1.2439024390243902,0.6982378109224837,2.3007528981753502,120,3,TweetyNet,2.091356196305893,Bird0,3,hidden_size,16,Bengalese Finch
none,0.9745110668887608,14.317073170731708,0.5516259816205241,26.81200276642362,120,3,TweetyNet,2.548893311123912,Bird0,3,hidden_size,16,Bengalese Finch
majority_vote,0.9769847483191856,2.4878048780487805,0.6172538126157157,4.96560094612065,120,4,TweetyNet,2.301525168081453,Bird0,3,hidden_size,16,Bengalese Finch
min_segment_dur,0.9749553984036646,11.829268292682928,0.5619157380684603,21.07112967628919,120,4,TweetyNet,2.504460159633537,Bird0,3,hidden_size,16,Bengalese Finch
min_segment_dur_majority_vote,0.977577379156512,1.4390243902439024,0.6396629608991437,2.89769077841137,120,4,TweetyNet,2.242262084348812,Bird0,3,hidden_size,16,Bengalese Finch
none,0.9743361107660868,13.121951219512194,0.5450610111078585,23.73443429003902,120,4,TweetyNet,2.5663889233913277,Bird0,3,hidden_size,16,Bengalese Finch
majority_vote,0.9767085887210828,3.1463414634146343,0.6592135462274575,5.3175865551847705,120,5,TweetyNet,2.3291411278917096,Bird0,3,hidden_size,16,Bengalese Finch
min_segment_dur,0.9727093453042256,14.121951219512194,0.5379449164674602,25.011095716134108,120,5,TweetyNet,2.729065469577441,Bird0,3,hidden_size,16,Bengalese Finch
