cleanup,avg_acc,avg_levenshtein,avg_pct_boundary_err,avg_segment_error_rate,train_set_dur,replicate_num,model_name,avg_error,animal_id,train_set_dur_ind
majority_vote,0.9637088348414421,20.645299145299145,0.5711837272375054,0.06962830363018432,190,1,TweetyNet,3.6291165158557903,llb16,2
min_segment_dur,0.9633787096229319,35.4059829059829,0.5633010163476898,0.12638723113022218,190,1,TweetyNet,3.662129037706807,llb16,2
min_segment_dur_majority_vote,0.9637514315286676,20.247863247863247,0.5722024146775061,0.06781101372292392,190,1,TweetyNet,3.62485684713324,llb16,2
none,0.9633361129357059,36.256410256410255,0.562296617650869,0.12969199931034475,190,1,TweetyNet,3.666388706429413,llb16,2
majority_vote,0.9640652311808255,18.978632478632477,0.5650411249375071,0.06150766786224188,190,2,TweetyNet,3.5934768819174456,llb16,2
min_segment_dur,0.9637408747770094,30.884615384615383,0.5567538874347221,0.10340617421854832,190,2,TweetyNet,3.6259125222990574,llb16,2
min_segment_dur_majority_vote,0.964094665162122,18.77777777777778,0.5657537214316568,0.06068512744882356,190,2,TweetyNet,3.5905334837877945,llb16,2
none,0.9637114407957125,31.235042735042736,0.5560648317881755,0.10475928263445469,190,2,TweetyNet,3.628855920428753,llb16,2
majority_vote,0.9602044140853127,19.752136752136753,0.5375676549415938,0.06590569916373461,190,3,TweetyNet,3.979558591468735,llb16,2
min_segment_dur,0.9600352344914196,32.63247863247863,0.5339210630945967,0.107520696524399,190,3,TweetyNet,3.9964765508580413,llb16,2
min_segment_dur_majority_vote,0.9602292511437754,19.512820512820515,0.5382814983218347,0.06471113308885221,190,3,TweetyNet,3.977074885622456,llb16,2
none,0.9600103974329567,33.034188034188034,0.5332068546860108,0.10934304129029072,190,3,TweetyNet,3.9989602567043314,llb16,2
majority_vote,0.9519738542870628,29.025641025641026,0.49445787302868455,0.09316181842268226,190,4,TweetyNet,4.802614571293717,llb16,2
min_segment_dur,0.9512863922175592,46.52564102564103,0.4843284742170955,0.14941943952883438,190,4,TweetyNet,4.871360778244083,llb16,2
min_segment_dur_majority_vote,0.9519873750859091,28.816239316239315,0.49481398780599684,0.09220852800640793,190,4,TweetyNet,4.801262491409086,llb16,2
none,0.9512728714187126,46.86752136752137,0.4839818554160278,0.15083403100207143,190,4,TweetyNet,4.872712858128736,llb16,2
majority_vote,0.9603243984768991,22.833333333333332,0.5408267342162166,0.0735089319164971,190,5,TweetyNet,3.96756015231009,llb16,2
min_segment_dur,0.9602504278932835,37.42307692307692,0.5368074673859436,0.12231555521745276,190,5,TweetyNet,3.974957210671648,llb16,2
min_segment_dur_majority_vote,0.9603268501585174,22.799145299145298,0.5411557809849208,0.0732599188494567,190,5,TweetyNet,3.9673149841482624,llb16,2
none,0.9602479762116652,37.572649572649574,0.5364770942558958,0.12295017811285222,190,5,TweetyNet,3.9752023788334756,llb16,2
majority_vote,0.9610820807534052,22.555555555555557,0.5369819733261947,0.07517000097044518,190,6,TweetyNet,3.8917919246594823,llb16,2
min_segment_dur,0.9607562884153777,36.76495726495727,0.5300603910883712,0.12879750733443115,190,6,TweetyNet,3.9243711584622254,llb16,2
min_segment_dur_majority_vote,0.9611041436253941,22.29059829059829,0.5373661781624912,0.0736679028610838,190,6,TweetyNet,3.889585637460591,llb16,2
none,0.9607342255433886,37.06837606837607,0.5296985152610033,0.13041866410742484,190,6,TweetyNet,3.926577445661139,llb16,2
majority_vote,0.9637508751303068,18.84188034188034,0.5971419681802366,0.06406671393182094,190,7,TweetyNet,3.6249124869693228,llb16,2
min_segment_dur,0.9631385758730889,34.01282051282051,0.5819565900707669,0.11704734421934378,190,7,TweetyNet,3.686142412691107,llb16,2
min_segment_dur_majority_vote,0.9637582383406842,18.773504273504273,0.5976975079098652,0.06332497093306365,190,7,TweetyNet,3.6241761659315808,llb16,2
none,0.9631312126627122,34.20940170940171,0.5814267988026901,0.11819834599437315,190,7,TweetyNet,3.6868787337287823,llb16,2
majority_vote,0.9550466670264142,22.692307692307693,0.5439686174149813,0.07665846270499535,240,1,TweetyNet,4.495333297358584,llb16,3
min_segment_dur,0.9549621049789921,41.636752136752136,0.537214548287669,0.1396208103754873,240,1,TweetyNet,4.503789502100785,llb16,3
min_segment_dur_majority_vote,0.9550665703458427,22.487179487179485,0.5444177856444994,0.07560034111392694,240,1,TweetyNet,4.493342965415725,llb16,3
none,0.9549422016595637,41.93162393162393,0.53677160864919,0.14091506463927547,240,1,TweetyNet,4.505779834043633,llb16,3
majority_vote,0.9634734286306207,19.944444444444443,0.5548938740712493,0.0654067531423039,240,2,TweetyNet,3.6526571369379313,llb16,3
min_segment_dur,0.9631804752539399,30.73931623931624,0.5508004339107477,0.1053146487589018,240,2,TweetyNet,3.6819524746060095,llb16,3
min_segment_dur_majority_vote,0.9634788163076379,19.89316239316239,0.5551132476885494,0.06505130136955636,240,2,TweetyNet,3.6521183692362125,llb16,3
none,0.9631750875769228,30.88034188034188,0.5505766020008501,0.10593975444815927,240,2,TweetyNet,3.682491242307717,llb16,3
majority_vote,0.9643518358290362,18.017094017094017,0.573426680798309,0.05926545993225779,240,3,TweetyNet,3.5648164170963836,llb16,3
min_segment_dur,0.964087491569777,31.55982905982906,0.5664215614722087,0.10628673312546313,240,3,TweetyNet,3.591250843022298,llb16,3
min_segment_dur_majority_vote,0.9643632171763237,17.923076923076923,0.5737213424253271,0.05875317677697497,240,3,TweetyNet,3.5636782823676327,llb16,3
none,0.9640761102224895,31.78205128205128,0.5661645704945905,0.10717933299547046,240,3,TweetyNet,3.5923889777510487,llb16,3
