,cleanup,avg_acc,avg_levenshtein,avg_pct_boundary_err,avg_segment_error_rate,train_set_dur,replicate_num,model_name,results_dir,toml_path,training_replicate_csv_path,checkpoint_path,spect_scalar_path,min_segment_dur,avg_error,animal_id,train_set_dur_ind,Species,Post-processing
22,min_segment_dur_majority_vote,0.9797986549514756,1.170731707317073,0.6963241954426485,2.2854943823173697,75,6,TweetyNet,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/config_BirdsongRecognition_bird00.toml,data/BirdsongRecognition/Bird0/Wave_prep_210528_224944.csv,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_75s/replicate_6/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_75s/replicate_6/StandardizeSpect,0.02,2.0201345048524333,Bird0,2,Bengalese Finches,with
23,none,0.976938996008162,10.292682926829269,0.5969277918235794,19.44648857972575,75,6,TweetyNet,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/config_BirdsongRecognition_bird00.toml,data/BirdsongRecognition/Bird0/Wave_prep_210528_224944.csv,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_75s/replicate_6/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_75s/replicate_6/StandardizeSpect,0.02,2.306100399183797,Bird0,2,Bengalese Finches,without
26,min_segment_dur_majority_vote,0.9792422832500882,1.2926829268292683,0.6715377936328147,2.48462238975333,75,7,TweetyNet,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/config_BirdsongRecognition_bird00.toml,data/BirdsongRecognition/Bird0/Wave_prep_210528_224944.csv,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_75s/replicate_7/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_75s/replicate_7/StandardizeSpect,0.02,2.075771674991178,Bird0,2,Bengalese Finches,with
27,none,0.9761761764787952,10.439024390243905,0.571540020571283,19.18107247507983,75,7,TweetyNet,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/config_BirdsongRecognition_bird00.toml,data/BirdsongRecognition/Bird0/Wave_prep_210528_224944.csv,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_75s/replicate_7/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_75s/replicate_7/StandardizeSpect,0.02,2.382382352120493,Bird0,2,Bengalese Finches,without
30,min_segment_dur_majority_vote,0.9780385185062423,1.4146341463414631,0.6416607425187554,2.97096328568855,75,8,TweetyNet,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/config_BirdsongRecognition_bird00.toml,data/BirdsongRecognition/Bird0/Wave_prep_210528_224944.csv,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_75s/replicate_8/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_75s/replicate_8/StandardizeSpect,0.02,2.196148149375765,Bird0,2,Bengalese Finches,with
31,none,0.9756843571116752,8.146341463414634,0.5578388284762961,17.22186613127495,75,8,TweetyNet,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/config_BirdsongRecognition_bird00.toml,data/BirdsongRecognition/Bird0/Wave_prep_210528_224944.csv,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_75s/replicate_8/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_75s/replicate_8/StandardizeSpect,0.02,2.4315642888324773,Bird0,2,Bengalese Finches,without
34,min_segment_dur_majority_vote,0.976091687483496,1.7804878048780488,0.6338809650156735,3.49614403613304,75,9,TweetyNet,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/config_BirdsongRecognition_bird00.toml,data/BirdsongRecognition/Bird0/Wave_prep_210528_224944.csv,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_75s/replicate_9/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_75s/replicate_9/StandardizeSpect,0.02,2.390831251650405,Bird0,2,Bengalese Finches,with
35,none,0.972430833068426,10.731707317073171,0.5278047263225377,20.14655966960457,75,9,TweetyNet,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/config_BirdsongRecognition_bird00.toml,data/BirdsongRecognition/Bird0/Wave_prep_210528_224944.csv,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_75s/replicate_9/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_75s/replicate_9/StandardizeSpect,0.02,2.756916693157385,Bird0,2,Bengalese Finches,without
38,min_segment_dur_majority_vote,0.9805187260577758,0.926829268292683,0.7490506815194613,1.75224225937078,75,10,TweetyNet,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/config_BirdsongRecognition_bird00.toml,data/BirdsongRecognition/Bird0/Wave_prep_210528_224944.csv,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_75s/replicate_10/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_75s/replicate_10/StandardizeSpect,0.02,1.9481273942224209,Bird0,2,Bengalese Finches,with
39,none,0.976879671650384,10.341463414634148,0.6087664838462662,19.44261353385914,75,10,TweetyNet,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/config_BirdsongRecognition_bird00.toml,data/BirdsongRecognition/Bird0/Wave_prep_210528_224944.csv,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_75s/replicate_10/TweetyNet/checkpoints/max-val-acc-checkpoint.pt,results/Bengalese_Finches/learncurve/Bird0/results_210528_225043/train_dur_75s/replicate_10/StandardizeSpect,0.02,2.312032834961586,Bird0,2,Bengalese Finches,without
