cleanup,avg_acc,avg_levenshtein,avg_pct_boundary_err,avg_segment_error_rate,train_set_dur,replicate_num,model_name,avg_error,animal_id,train_set_dur_ind
majority_vote,0.9623542408377588,22.153846153846153,0.5564857226881197,0.07504573713097563,190,1,TweetyNet,3.764575916224122,llb16,2
min_segment_dur,0.9619930148505862,41.02564102564103,0.5529597987654883,0.13959973989145855,190,1,TweetyNet,3.800698514941381,llb16,2
min_segment_dur_majority_vote,0.9624091089467504,21.641025641025642,0.5574391865159519,0.07266414092595619,190,1,TweetyNet,3.759089105324964,llb16,2
none,0.9619381467415947,42.2008547008547,0.5520970355729283,0.14388724679162163,190,1,TweetyNet,3.8061853258405276,llb16,2
majority_vote,0.9620878496168012,22.854700854700855,0.5053404703443269,0.07671040217952207,190,2,TweetyNet,3.791215038319884,llb16,2
min_segment_dur,0.961809422046868,38.585470085470085,0.4974903630735678,0.13152817851987744,190,2,TweetyNet,3.8190577953131966,llb16,2
min_segment_dur_majority_vote,0.9621586095564267,21.918803418803417,0.5067768399664428,0.07275496986890218,190,2,TweetyNet,3.7841390443573264,llb16,2
none,0.9617386621072427,39.78632478632478,0.4960891680677649,0.1364092380865521,190,2,TweetyNet,3.826133789275732,llb16,2
majority_vote,0.957439849582148,21.94017094017094,0.503403913935164,0.07369523024817488,190,3,TweetyNet,4.256015041785199,llb16,2
min_segment_dur,0.957166750989459,38.38461538461539,0.4907967058965325,0.1296608832034205,190,3,TweetyNet,4.2833249010540975,llb16,2
min_segment_dur_majority_vote,0.9574879453224512,21.495726495726494,0.5042510211894952,0.071411481394284,190,3,TweetyNet,4.251205467754882,llb16,2
none,0.9571186552491557,39.098290598290596,0.49008065567909637,0.1326607568322283,190,3,TweetyNet,4.288134475084426,llb16,2
majority_vote,0.9538664494769079,27.95299145299145,0.46799827671404864,0.09460963627738952,190,4,TweetyNet,4.61335505230921,llb16,2
min_segment_dur,0.9536319850722118,53.55555555555556,0.4575664054455428,0.18278147792738708,190,4,TweetyNet,4.636801492778819,llb16,2
